name;stable_occurrence
ligand150-0;NMETCO-subgraph-0
ligand151-0;MEHNIW-subgraph-1
ligand152-0;CONAEN-subgraph-3
ligand153-0;QAZGAB-subgraph-4
ligand154-0;SUSGES-subgraph-0
ligand155-0;YECFOC-subgraph-3
ligand156-0;VAJTAB-subgraph-0
ligand157-0;QEWHAC-subgraph-0
ligand158-0;QEWHAC-subgraph-1
ligand159-0;SEJHIA-subgraph-0
ligand160-0;NIYPUK-subgraph-2
ligand161-0;KIRFIE-subgraph-1
ligand162-0;QIZRUQ-subgraph-1
ligand163-0;AZEHAP-subgraph-1
ligand164-0;SUVCER-subgraph-1
ligand165-0;INUQIS-subgraph-1
ligand166-0;QUMGIR-subgraph-3
ligand167-0;POKSEO-subgraph-1
ligand168-0;SATXAO-subgraph-0
ligand169-0;GENWAY-subgraph-5
ligand170-0;IJOTAE-subgraph-3
ligand171-0;XUZMUC-subgraph-3
ligand172-0;MOJGOH-subgraph-1
ligand173-0;KIRFOG-subgraph-1
ligand174-0;CECLED-subgraph-1
ligand175-0;CEZREF-subgraph-4
ligand176-0;YORTOQ-subgraph-0
ligand177-0;RALQAY-subgraph-1
ligand178-0;UXICUB-subgraph-2
ligand179-0;ZEGJIE-subgraph-3
ligand180-0;IJOVAF-subgraph-1
ligand181-0;RAQRUY-subgraph-0
ligand182-0;NAPHUH-subgraph-0
ligand183-0;ITIXOZ-subgraph-2
ligand184-0;RUWFAS-subgraph-4
ligand185-0;JOCZEG-subgraph-1
ligand186-0;KUNNOX-subgraph-0
ligand187-0;TITBII-subgraph-1
ligand188-0;QIBXOQ-subgraph-1
ligand189-0;ACOBIE-subgraph-1
ligand190-0;QAHBIK-subgraph-0
ligand191-0;NOBBAJ-subgraph-3
ligand192-0;IMESOL-subgraph-2
ligand193-0;NECJIR-subgraph-2
ligand194-0;VUJKUJ-subgraph-1
ligand195-0;KAYYUG-subgraph-1
ligand196-0;MINTIQ-subgraph-0
ligand197-0;NEMJEU-subgraph-0
ligand198-0;MIRDUN-subgraph-1
ligand199-0;PIDFOZ-subgraph-1
ligand200-0;ZAZCEM-subgraph-4
ligand201-0;SAYHEF-subgraph-1
ligand202-0;LEVVAK-subgraph-1
ligand203-0;PEMLIC-subgraph-0
ligand204-0;CARQES-subgraph-0
ligand205-0;ZESWUR-subgraph-2
ligand206-0;JEGPUG-subgraph-1
ligand207-0;XERMEO-subgraph-0
ligand208-0;PIJQIM-subgraph-0
ligand209-0;YATSEU-subgraph-1
ligand210-0;ROCMIH-subgraph-0
ligand211-0;BACHEW-subgraph-0
ligand212-0;ZUZHIO-subgraph-2
ligand213-0;YEFJOJ-subgraph-0
ligand214-0;CIMMOB-subgraph-2
ligand215-0;SOWZIP-subgraph-1
ligand216-0;XETPOB-subgraph-1
ligand217-0;LUXLUN-subgraph-1
ligand218-0;XANWAL-subgraph-2
ligand219-0;TEMROW-subgraph-1
ligand220-0;SIBLOF-subgraph-0
ligand221-0;ELUQIL-subgraph-1
ligand222-0;QUSPUQ-subgraph-3
ligand223-0;ZATMEM-subgraph-0
ligand224-0;MABLUZ-subgraph-0
ligand225-0;NONYUM-subgraph-3
ligand226-0;HUQXIC-subgraph-3
ligand227-0;IHUSAF-subgraph-2
ligand228-0;EPULIL-subgraph-3
ligand229-0;GULZAO-subgraph-4
ligand230-0;GOVMEL-subgraph-2
ligand231-0;LECFEH-subgraph-2
ligand232-0;UXOROP-subgraph-1
ligand233-0;RIZTIF-subgraph-0
ligand234-0;GUBNOJ-subgraph-2
ligand235-0;SODNUW-subgraph-3
ligand236-0;NOWGAJ-subgraph-3
ligand237-0;VUPWIO-subgraph-1
ligand238-0;HIJXON-subgraph-5
ligand239-0;KEPHOE-subgraph-0
ligand240-0;IFIVEA-subgraph-2
ligand241-0;WOPLUJ-subgraph-0
ligand242-0;MEFGOX-subgraph-1
ligand243-0;FIRFIW-subgraph-0
ligand244-0;BUQYET-subgraph-2
ligand245-0;UNUKAR-subgraph-2
ligand246-0;VORNOF-subgraph-3
ligand247-0;WOVBEQ-subgraph-0
ligand248-0;YUTPAF-subgraph-0
ligand249-0;SINFUQ-subgraph-4
ligand250-0;INITEE-subgraph-4
ligand251-0;BICXOB-subgraph-2
ligand251-1;EYEPON-subgraph-2
ligand252-0;QAXBID-subgraph-0
ligand253-0;HOSXOD-subgraph-1
ligand254-0;FOSYOE-subgraph-0
ligand255-0;CEVNIC-subgraph-3
ligand256-0;PEPSEK-subgraph-3
ligand257-0;KEMJES-subgraph-3
ligand258-0;QISXEV-subgraph-1
ligand259-0;UZAQUJ-subgraph-1
ligand260-0;YOBTIS-subgraph-1
ligand261-0;KOSZOH-subgraph-0
ligand262-0;EQAGEK-subgraph-3
ligand263-0;WUMQOM-subgraph-2
ligand264-0;EVULAL-subgraph-1
ligand265-0;VEXDOT-subgraph-1
ligand266-0;JEDDUS-subgraph-2
ligand267-0;WISBOS-subgraph-2
ligand268-0;RIQTIV-subgraph-3
ligand269-0;TURRIH-subgraph-1
ligand270-0;TURRIH-subgraph-2
ligand271-0;PIYHOU-subgraph-1
ligand272-0;DIYZUI-subgraph-3
ligand273-0;NUZXEM-subgraph-2
ligand274-0;ROQYOL-subgraph-2
ligand275-0;DAQLUC-subgraph-3
ligand276-0;PUSSUU-subgraph-0
ligand277-0;ALILOX-subgraph-2
ligand278-0;BADQIH-subgraph-0
ligand279-0;YIXGAO-subgraph-0
ligand280-0;PALDAJ-subgraph-2
ligand281-0;ROBGUK-subgraph-5
ligand282-0;BONREC-subgraph-3
ligand283-0;ITEQIH-subgraph-0
ligand284-0;AMONOF-subgraph-1
ligand285-0;IRATEB-subgraph-1
ligand286-0;JUZQON-subgraph-2
ligand287-0;CEPMIT-subgraph-2
ligand287-1;YOVHOG-subgraph-5
ligand288-0;GILKOD-subgraph-2
ligand289-0;EJAVES-subgraph-0
ligand290-0;BAVDAG-subgraph-1
ligand291-0;PUPNIZ-subgraph-0
ligand292-0;LIMKID-subgraph-1
ligand293-0;LAMLIX-subgraph-1
ligand294-0;MOGNAZ-subgraph-0
ligand295-0;AFUWAA-subgraph-1
ligand296-0;QAWLOR-subgraph-0
ligand297-0;WUQSEG-subgraph-4
ligand298-0;ACUSIB-subgraph-4
ligand299-0;DAJTEP-subgraph-4
ligand300-0;YOBKUW-subgraph-1
ligand301-0;MORSOB-subgraph-3
ligand302-0;NAMJAO-subgraph-1
ligand303-0;ISAQEY-subgraph-0
ligand304-0;CIFQAM-subgraph-0
ligand305-0;UCIYEL-subgraph-3
ligand306-0;DOPZOA-subgraph-0
ligand307-0;LARGET-subgraph-0
ligand308-0;LARGET-subgraph-1
ligand309-0;XOXSOT-subgraph-0
ligand310-0;RECTIC-subgraph-2
ligand311-0;UCEBIN-subgraph-3
ligand312-0;CEXNEA-subgraph-1
ligand313-0;VECYIO-subgraph-1
ligand314-0;USIYAY-subgraph-2
ligand315-0;GUYZUV-subgraph-1
ligand316-0;TOVTOP-subgraph-2
ligand317-0;HEQXEI-subgraph-3
ligand318-0;VIDFIZ-subgraph-1
ligand319-0;ALUTAD-subgraph-0
ligand320-0;SOCBIV-subgraph-0
ligand321-0;NOBBIR-subgraph-0
ligand322-0;FOCNIV-subgraph-0
ligand323-0;NOBBAJ-subgraph-2
ligand324-0;IFAYAQ-subgraph-2
ligand325-0;TECWEE-subgraph-3
ligand326-0;BISPAW-subgraph-0
ligand327-0;JAVJAS-subgraph-1
ligand328-0;KIYXEX-subgraph-0
ligand329-0;TAMZAJ-subgraph-1
ligand330-0;TAMZAJ-subgraph-0
ligand331-0;NAVKAW-subgraph-0
ligand332-0;NUWXAH-subgraph-2
ligand333-0;MABRIR-subgraph-1
ligand334-0;CPTICB-subgraph-0
ligand335-0;SALHIZ-subgraph-0
