ligand_name;smiles;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand48-0;[CH3][C]1[C]([CH3])=[C]([CH3])[C]([CH3])=[C]1[CH3];3.267190000000002;1;0;0;0
ligand49-0;[CH3][C]#[N];0.52988;0;0;0;0
ligand50-0;[CH3][N]1[N]=[N][N][C]1=[S];0.10330000000000006;1;0;0;0
ligand51-0;[cH]1[cH][cH][c]([P]([c]2[cH][cH][cH][cH][cH]2)[c]2[cH][cH][cH][cH][cH]2)[cH][cH]1;3.4448000000000016;0;3;0;3
ligand52-0;[cH]1[cH][cH][c]([CH2][N][CH2][c]2[cH][cH][cH][cH][n]2)[n][cH]1;1.7812;0;2;0;4
ligand53-0;[CH3][O][c]1[cH][cH][cH][cH][c]1[CH2][N]1[C][N]([C]([CH3])([CH3])[CH3])[CH]=[CH]1;3.0787900000000015;1;1;0;3
ligand54-0;[CH3][Si]([CH3])([CH3])/[C]=[CH]\[c]1[cH][cH][cH][cH][cH]1;3.380390000000002;0;1;0;2
ligand55-0;[F];0.4202;0;0;0;0
ligand56-0;[O][C](=[O])[c]1[cH][c]([c]2[cH][cH][c]([N+](=[O])[O-])[cH][cH]2)[cH][c]([c]2[cH][cH][cH][cH][n]2)[n]1;3.386300000000001;0;3;0;4
ligand57-0;[CH2][Si]([CH3])([CH3])[CH3];1.69789;0;0;0;0
ligand58-0;[CH3][N][C]1=[C]([N][CH3])[CH]=[CH][CH]=[CH][CH]1;0.99669;1;0;0;2
ligand59-0;[CH3][CH2][B]([CH2][CH3])([n]1[cH][cH][cH][n]1)[n]1[cH][cH][cH][n]1;1.958;0;2;0;4
ligand60-0;[CH3][C]#[C][c]1[cH][cH][cH][cH][cH]1;2.058;0;1;0;0
ligand61-0;[CH3][CH2][O][P]([O][CH2][CH3])[c]1[cH][cH][cH][cH][cH]1;2.6968000000000005;0;1;0;5
ligand62-0;[cH]1[cH][n][nH][cH]1;0.40969999999999995;0;1;0;0
ligand63-0;[CH3][CH2][O][C](=[O])[C]([CH2][c]1[cH][cH][cH][c]([c]2[cH][cH][cH][cH][n]2)[n]1)[C](=[O])[O][CH2][CH3];2.4351900000000004;0;2;0;7
ligand64-0;[cH]1[cH][cH][c]2[nH][c]([CH2][NH][CH2][c]3[n][c]4[cH][cH][cH][cH][c]4[nH]3)[n][c]2[cH]1;2.729;0;4;0;4
ligand65-0;[OH][CH]([CH2][S][c]1[cH][cH][cH][cH][c]1[S])[CH2][S][c]1[cH][cH][cH][cH][c]1[S];5.044700000000004;0;2;0;6
ligand66-0;[CH3][CH2][N]([CH2][CH3])[C]([S])=[S];1.8106;0;0;0;2
ligand67-0;[CH3][P]([CH3])[c]1[cH][cH][cH][cH][cH]1;2.0534;0;1;0;1
ligand68-0;[N]#[N];0.03016;0;0;0;0
ligand69-0;[CH3][C]([CH3])([CH3])[O];1.2154;0;0;0;0
ligand70-0;[CH3][N]([CH3])[CH2][CH2][N]([CH3])[CH2][C]1=[C][CH]=[CH][CH]=[CH]1;1.33539;1;0;0;5
ligand71-0;[CH2][CH]([CH2])[c]1[cH][cH][cH][cH][cH]1;2.4383800000000004;0;1;0;1
ligand72-0;[O][c]1[c]([Cl])[cH][c]([Cl])[cH][c]1/[CH]=[N]/[CH2][CH2][N]1[CH2][CH2][NH2][CH2][CH2]1;2.3661000000000003;1;1;1;4
ligand73-0;[CH3][C]([O])=[O];-0.036599999999999966;0;0;0;0
ligand74-0;[N]#[C][N][C]#[N];-0.4470400000000001;0;0;0;0
ligand75-0;[CH3][c]1[cH][cH][c]([c]2[cH][c]([CH2][CH2][P]([c]3[cH][cH][cH][cH][cH]3)[c]3[cH][cH][cH][cH][cH]3)[c]([c]3[cH][cH][c]([CH3])[s]3)[s]2)[s]1;8.594140000000005;0;5;0;7
ligand76-0;[CH3][CH]([CH3])[P]([CH2][c]1[cH][cH][cH][c]([CH2][P]([CH]([CH3])[CH3])[CH]([CH3])[CH3])[n]1)[CH]([CH3])[CH3];6.679000000000007;0;1;0;8
ligand77-0;[CH3][O][c]1[cH][cH][cH][c](/[CH]=[N]/[N][C](=[O])[c]2[cH][cH][cH][c]([Br])[cH]2)[c]1[O];3.380200000000002;0;2;0;4
ligand78-0;[CH3][OH];-0.3915;0;0;0;0
