ligand0-0 | UKEBAN-subgraph-0
ligand10122-0 | TINBIE-subgraph-0
ligand10123-0 | QETDIF-subgraph-0
ligand10124-0 | XIYDUG-subgraph-0
ligand10125-0 | AHAWUB-subgraph-1
ligand10126-0 | EVABAE-subgraph-2
ligand10127-0 | EBAVUA-subgraph-1
ligand10128-0 | GEWPUW-subgraph-1
ligand10129-0 | ROGXOB-subgraph-0
ligand1013-0 | AZEQIH-subgraph-0
ligand10130-0 | WODQIQ-subgraph-0
ligand10131-0 | APUDUL-subgraph-1
ligand10132-0 | TIYWIK-subgraph-0
ligand10133-0 | IQUDII-subgraph-1
ligand10134-0 | RIXQIA-subgraph-0
ligand10135-0 | IXEHOJ-subgraph-3
ligand10136-0 | YIYXAG-subgraph-0
ligand10137-0 | EGOKUG-subgraph-3
ligand10138-0 | TAMFUL-subgraph-0
ligand10139-0 | WORCOV-subgraph-2
ligand1014-0 | YIGYAQ-subgraph-0
ligand10140-0 | ASUTAL-subgraph-1
ligand10141-0 | NESJAX-subgraph-2
ligand10142-0 | EFIHEJ-subgraph-2
ligand10142-1 | SAMCER-subgraph-0
ligand10143-0 | FOZQAO-subgraph-2
ligand10144-0 | IBOBIL-subgraph-1
ligand10145-0 | RADDOR-subgraph-0
ligand10146-0 | XAHXIP-subgraph-0
ligand10147-0 | ASPHCR-subgraph-0
ligand10148-0 | REMZEP-subgraph-0
ligand10149-0 | UMUXEF-subgraph-4
ligand1015-0 | HOCZEE-subgraph-1
ligand10150-0 | HOQTIR-subgraph-0
ligand10151-0 | ABIQOR-subgraph-1
ligand10152-0 | TASYAN-subgraph-0
ligand10153-0 | XIHCID-subgraph-1
ligand10154-0 | OLOLEG-subgraph-2
ligand10155-0 | FEMPES-subgraph-0
ligand10156-0 | GIBYEX-subgraph-2
ligand10157-0 | BOXZAP-subgraph-0
ligand10158-0 | FOWGAZ-subgraph-3
ligand10159-0 | OWEWOD-subgraph-1
ligand1016-0 | NOKLAC-subgraph-1
ligand10160-0 | YEKSAL-subgraph-0
