occurrence;energy;dipole_moment;homo_lumo_gap;metal_bound_homo_energy;metal_bound_homo_s;metal_bound_homo_p;metal_bound_homo_d;metal_bound_homo_f;metal_bound_lumo_energy;metal_bound_lumo_s;metal_bound_lumo_p;metal_bound_lumo_d;metal_bound_lumo_f;polarisability;molar_volume;largest_frequency;I1/I3;I2/I3
NIQMIL-subgraph-1;-498.213314844;3.5022;0.164;-0.025;0.04471112999150382;0.9081350892098555;0.047153780798640604;0.0;0.139;0.02167645488521089;0.9403096636412174;0.03801388147357181;0.0;134.69;1705.466;3063.5358;0.24886716750182247;0.8700587676181529
HEVDOB-subgraph-0;-1488.56162166;0.1159;0.15400000000000003;0.074;0.0;0.9780982326791716;0.02190176732082837;0.0;0.228;0.0;1.0;0.0;0.0;429.76;4178.081;3083.5775;;
JEXPAG-subgraph-1;-514.783628934;8.0883;0.13000000000000003;0.142;0.0;0.9713869524503174;0.02861304754968265;0.0;0.272;0.0;0.9759661196400211;0.024033880359978818;0.0;152.48;1549.591;3156.3666;0.23077055133085816;0.7692296740666476
IBOCAE-subgraph-1;-1081.02234815;3.7562;0.186;-0.202;0.059143439836845654;0.8837525492861998;0.05710401087695443;0.0;-0.016;-0.019557625145518044;1.019557625145518;0.0;0.0;239.74;2523.333;3619.507;0.8326619046546204;0.8329769691452652
UDOMEG-subgraph-1;-1081.02421994;2.9331;0.181;-0.205;0.09137113169189068;0.8581432121075221;0.0504856562005873;0.0;-0.024;0.016781609195402298;0.9477011494252874;0.035517241379310345;0.0;245.86;2769.794;3626.8165;;
QIGJIZ-subgraph-2;-874.070070537;4.2192;0.193;-0.054;0.01455150192287704;0.96923396736306;0.016214530714062987;0.0;0.139;0.047165633303808685;0.8981399468556245;0.054694419840566874;0.0;136.44;1727.62;3156.4107;0.3319939837696808;0.7936573202127633
JETXEP-subgraph-2;-874.070297641;4.5254;0.192;-0.054;0.0;0.9827044025157233;0.017295597484276733;0.0;0.138;0.06514298332781274;0.8805343932869604;0.05432262338522689;0.0;136.34;1787.493;3156.7655;0.3119704511037282;0.8647494061022222
TADLIX-subgraph-0;-537.488376348;5.8071;0.16899999999999998;-0.026;0.0;0.9420837267862763;0.05791627321372364;0.0;0.143;0.7075868170758682;0.2924131829241318;0.0;0.0;146.2;1704.287;3075.1471;0.30386923252801723;0.8191934737562001
MIPKON-subgraph-2;-959.292732542;2.9811;0.16299999999999998;-0.18;0.17965276307431713;0.7523819606182511;0.0679652763074317;0.0;-0.017;0.02547974413646055;0.9062899786780384;0.06823027718550106;0.0;232.53;2802.758;3093.0293;;
ZUTHEB-subgraph-1;-1199.50542282;6.9212;0.126;-0.059;0.0;0.9830688957512512;0.0169311042487488;0.0;0.067;0.0;0.9562282459656155;0.043771754034384554;0.0;282.08;2775.698;3115.6872;;
RUPGOA-subgraph-4;-550.30668677;2.5722;0.193;-0.256;0.13119626366627746;0.8580830060503131;0.010720730283409403;0.0;-0.063;0.0;0.9759490940465919;0.024050905953408114;0.0;132.9;1554.552;3154.6751;0.19504451280673932;0.8074646133882751
RUPGUG-subgraph-4;-550.306686264;2.5722;0.193;-0.256;0.13110403397027598;0.8581740976645434;0.010721868365180465;0.0;-0.063;0.0;0.9759490940465919;0.024050905953408114;0.0;132.9;1464.173;3154.6737;0.19504205754939388;0.8074671427272283
VIQMOY-subgraph-0;-869.446014731;4.6397;0.15100000000000002;-0.234;0.024458270757348202;0.9755417292426517;0.0;0.0;-0.083;0.0;0.9706971677559912;0.029302832244008717;0.0;210.1;2168.287;3145.4588;;
SEHWAF-subgraph-3;-1010.87408015;2.04;0.189;-0.223;0.07283779460381784;0.9132984963207849;0.013863709075397246;0.0;-0.034;0.0;0.9476693051890941;0.0523306948109059;0.0;263.97;3672.895;3190.9742;;
IYOGEL-subgraph-0;-1726.32571479;5.6475;0.10600000000000001;-0.042;0.228761111736244;0.7347811409924608;0.03645774727129515;0.0;0.073;0.0;0.9665939616576742;0.0334060383423258;0.0;463.89;4986.82;3213.4144;;
ZOXJON-subgraph-0;-546.118244785;6.2734;0.183;-0.055;0.0;0.947493294821539;0.0525067051784609;0.0;0.128;0.012675756284618664;0.9615466553046442;0.02577758841073711;0.0;120.31;1293.632;3342.9541;0.23247858255596288;0.820864612994445
KOCXUY-subgraph-2;-745.934137851;3.3023;0.128;-0.208;0.0;0.9864410342652933;0.013558965734706746;0.0;-0.08;0.0;0.98219457256248;0.017805427437520113;0.0;211.46;2167.138;3153.2029;0.19139935379765502;0.809925735730179
