name;exact_cone_angle;buried_volume;solid_angle;solid_cone_angle;G_parameter;sasa_area_stable;sasa_volume_stable;sasa_area_free;sasa_volume_free
ligand0-0;98.33970518494168;0.16285408125232947;2.177064207182868;98.38654705816461;17.32452650007958;124.68981242097888;130.92437226610912;124.68981242097888;130.92430304202782
ligand1-0;132.64601527580103;0.24044330040998882;2.928086356743885;115.45039317227697;23.300970873786408;324.94191755101633;473.71330703176795;324.94185313592175;474.17062119746043
ligand2-0;142.39264015923942;0.25612653745806935;3.315097770698763;123.62144811057735;26.380709851981543;309.9333433933914;433.4987294429683;;
ligand3-0;267.64868901584674;0.5686090663436452;7.7012271288540495;206.08671963502672;61.284418271526334;742.7337676068634;1285.9491451562144;;
ligand4-0;131.56404188757796;0.1954842992918375;2.896085412954334;114.7587935740737;23.046315454400762;193.54660998034467;236.0742655009101;194.15661773780386;236.98029916985473
ligand5-0;206.13466216477605;0.4110079668281774;5.529163069138299;166.21505999692133;43.999681680725764;455.72944386496306;698.0211337769178;457.6296909204484;700.3281155118874
ligand6-0;120.66498539369249;0.2415090383898621;2.913085914342533;115.12653621762404;23.181601145949386;241.48062897318067;321.29742906780046;241.48056063288394;321.8475234786108
ligand7-0;128.29359363490352;0.19540859112933284;2.51607420545342;106.32402561072733;20.022282349196246;358.7583743112788;531.135941546316;360.0283918852844;532.4533379650427
ligand8-0;97.78750638630102;0.12522130078270594;2.0510604910115124;95.3145932551156;16.32182078624861;118.78756551098093;119.7068105027461;117.79751468924704;118.50092361738163
ligand9-0;239.50300914787573;0.5479815039135296;7.380217661465119;200.11054428439414;58.7299060958141;646.0816855334955;1178.4565929811572;646.0017721266108;1189.0813060780797
ligand10-0;224.06629137242805;0.4940365262765561;6.220183449093908;178.8509646351665;49.49864714308452;682.275283629671;1140.462900365163;663.4550137993508;1117.7210253399583
ligand11-0;142.8182602473943;0.181641352963101;4.291126556280059;143.03125390452442;34.14770014324368;136.53975448490786;148.12981151334517;136.0997700790968;147.49697805538253
ligand12-0;94.29596751769598;0.1812045751024972;2.013059370261421;94.37339301663651;16.019417475728154;143.5632444466849;161.74785746779241;143.5632444466849;161.74792207659834
ligand13-0;128.5895457391502;0.21589638464405517;2.913085914342533;115.12653621762404;23.181601145949386;276.8917902266279;383.5922055869374;278.071780527574;385.7138641208006
ligand14-0;202.17410616979714;0.4376281215057771;5.449160709664422;164.74418918995676;43.36304313226166;320.8409852332925;466.2183819031193;318.6207892826247;462.8324110596541
ligand15-0;200.77276725828625;0.38473723443906077;5.145151743663691;159.12956586472612;40.94381664809804;404.43894627125337;614.4097894425154;412.6687826223887;624.5468814872124
ligand16-0;204.87322178245543;0.43202571748043234;5.3231569934930665;162.42233111623236;42.36033741843069;417.0734503001198;628.3448047750812;416.6531027294592;629.6673574015286
ligand17-0;148.3291259213288;0.24252818673127097;3.71610959756157;131.77083330655043;29.57186057615789;164.40143899084632;189.2459078912128;162.77137006068904;186.504164165151
ligand18-0;191.14883547689988;0.4061509970182631;5.358158025762887;163.06797995486542;42.63886678338373;492.0646953359854;787.5113480136997;483.6943628424934;779.0423803409907
ligand19-0;184.35331635884268;0.29506382780469625;4.022118622549148;137.8168106362312;32.00700302403311;391.96368246971963;584.9119417614827;391.5236858741164;584.6015835200765
ligand20-0;99.7945930967661;0.1730921543048826;2.2330658588145815;99.72913712597065;17.770173484004456;132.73228961416876;143.79333436851888;132.73228961416876;143.7933137486828
ligand21-0;120.24730913298892;0.18487350913156914;2.457072465341436;104.97351573846544;19.552761419703963;270.79142513820113;373.34968671122294;271.03134103957814;374.0097521476764
ligand22-0;150.463598429654;0.3472908125232948;4.404129889036909;145.19757833768261;35.04695209294923;217.04201426857895;278.5740909006787;217.60199599454032;279.2396676197923
ligand23-0;215.1637464199912;0.37847092806559823;5.256155017433695;161.1847857564648;41.827152634091995;491.094716290344;758.2966244638642;488.1646621241022;754.65677128451
ligand24-0;197.43786137697487;0.48864959932910923;6.389188433482472;181.93335692280434;50.84354607671494;345.48180799665454;507.49161641669707;346.7717319812447;507.6357972960364
ligand25-0;348.19941555718674;0.8674641259783824;12.443366986668087;337.2884010586449;99.02116823173643;460.4112868141394;774.1032631655255;520.9078023819833;844.419600332508
ligand26-0;231.8127941268119;0.5209711610137905;6.635195688864644;186.4232626543865;52.80120961324209;549.2736050836875;888.5935657557748;525.7928389738368;874.8690176246752
ligand27-0;160.5908479564037;0.2456904584420425;3.2400955586920035;122.06377591187528;25.783861212796435;411.3909348880683;608.3853788503421;407.5311546189206;604.6096071130684
ligand28-0;151.69024348268994;0.26840873089824824;3.3941001006792164;125.25002152677594;27.009390418589845;484.67381503792313;771.5913628877967;486.6338272513937;774.8916222016055
ligand29-0;203.92369181534136;0.34004612374207976;4.377129092714475;144.6811587369509;34.83208658284259;340.43272511683546;494.9704493632406;341.4825580767923;495.9194028685924
ligand30-0;108.2667396751662;0.15274412970555348;2.603076771381261;108.29403024600467;20.714626770650963;202.51998124329205;248.20965669504088;203.3600175155517;249.38528931181264
ligand31-0;145.4980713967192;0.27282309914275066;3.7221097745221106;131.89069842180427;29.619608467292696;303.6404211841715;453.8312425723539;304.5304227015033;455.7032766454822
ligand32-0;221.43834629590535;0.3398131755497577;5.364158202723428;163.17860768465397;42.68661467451854;334.3986824947396;480.33790963346786;335.9485994851251;482.9226394026105
ligand33-0;130.02475483196042;0.1967829854640328;2.4530723473677423;104.88151531035021;19.520929492280757;323.02695104537355;457.0214854090984;322.8169442073991;456.7853888614841
ligand34-0;214.08695731139454;0.4151544446515095;6.037178051797415;175.51221855543744;48.04233646347286;657.8915122180099;1142.5853441922518;643.551489492579;1129.2656006843733
