name;L*-energy;L*-dipole_moment;L*-homo_lumo_gap;L*-metal_bound_homo_energy;L*-metal_bound_homo_s;L*-metal_bound_homo_p;L*-metal_bound_homo_d;L*-metal_bound_homo_f;L*-metal_bound_lumo_energy;L*-metal_bound_lumo_s;L*-metal_bound_lumo_p;L*-metal_bound_lumo_d;L*-metal_bound_lumo_f;L_free-energy;L_free-dipole_moment;L_free-homo_lumo_gap;L_free-metal_bound_homo_energy;L_free-metal_bound_homo_s;L_free-metal_bound_homo_p;L_free-metal_bound_homo_d;L_free-metal_bound_homo_f;L_free-metal_bound_lumo_energy;L_free-metal_bound_lumo_s;L_free-metal_bound_lumo_p;L_free-metal_bound_lumo_d;L_free-metal_bound_lumo_f;L_free-polarisability;L_free-molar_volume;L_free-largest_frequency;L_free-I1/I3;L_free-I2/I3
ligand35496-0;-826.203241724;3.1582;0.2;-0.228;0.3820549927641099;0.61794500723589;0.0;0.0;-0.028;0.0;0.9378194207836456;0.0621805792163543;0.0;-826.206569285;3.1955;0.206;-0.237;0.1040564373897707;0.8959435626102292;0.0;0.0;-0.031;0.0;1.0;0.0;0.0;203.06;2105.465;3225.6307;;
ligand35497-0;-865.846955024;6.2788;0.124;-0.199;0.3723037100949094;0.6276962899050906;0.0;0.0;-0.075;0.0;0.9565641247833622;0.0434358752166377;0.0;-865.846868553;6.263;0.131;-0.206;0.3745899846927618;0.6254100153072382;0.0;0.0;-0.075;0.0;0.9561403508771932;0.043859649122807;0.0;232.45;2379.456;3137.5334;0.395614626600302;0.794900894204488
ligand35498-0;-973.636906469;4.3413;0.154;-0.063;0.0;0.9536382536382536;0.0463617463617463;0.0;0.091;-0.0096362061498484;0.9681680381117368;0.0414681680381117;0.0;-973.64354532;4.0509;0.161;-0.067;0.0;0.9553018988692128;0.0446981011307872;0.0;0.094;-0.0029030817329164;0.9774452880750336;0.0254577936578829;0.0;282.72;3356.229;3156.5209;;
ligand35499-0;-1475.5261362;2.1733;0.172;-0.21;0.1059404802941514;0.8940595197058485;0.0;0.0;-0.038;-0.0196529134582231;0.9936788874841972;0.0259740259740259;0.0;-1475.53556877;2.405;0.183;-0.22;0.0838038303996457;0.9161961696003544;0.0;0.0;-0.037;0.0;0.9548446702852524;0.0451553297147476;0.0;314.54;3417.245;3137.2437;;
ligand35500-0;-1416.64009319;11.6934;0.096;-0.02;0.0254202116621705;0.9745797883378294;0.0;0.0;0.088;0.0;0.9141323792486584;0.0858676207513416;0.0;-1416.64794444;10.6753;0.122;-0.043;0.0138815301472925;0.9861184698527076;0.0;0.0;0.092;0.0109447599380485;0.9044914816726896;0.0845637583892617;0.0;191.9;2603.653;3127.9547;;
ligand35501-0;-629.057488717;4.7468;0.187;-0.238;0.0212983821421257;0.9313946344460372;0.0473069834118369;0.0;-0.051;0.0445653311015796;0.8907835547651428;0.0646511141332775;0.0;-629.104487483;3.9649;0.235;-0.248;0.0364534089715306;0.8999894946948209;0.0635570963336484;0.0;-0.013;0.037704578413093;0.8848145846281334;0.0774808369587735;0.0;61.98;791.657;3123.9837;0.4407809747987769;0.8004234369618204
ligand35502-0;-1447.22155562;2.3973;0.109;-0.065;0.0617868675995694;0.9382131324004306;0.0;0.0;0.044;0.0;0.9833098515227052;0.0166901484772949;0.0;-1447.22618687;2.5224;0.108;-0.07;0.0;1.0;0.0;0.0;0.038;0.0;0.983433734939759;0.0165662650602409;0.0;350.71;3041.93;3133.521;;
ligand35503-0;-664.68790722;2.9618;0.154;-0.2;0.0301813049614591;0.9698186950385408;0.0;0.0;-0.046;0.0;0.9727825808517452;0.0272174191482548;0.0;-664.693065008;3.1325;0.158;-0.2;0.0283479960899315;0.9716520039100685;0.0;0.0;-0.042;0.0;0.9753363228699552;0.0246636771300448;0.0;179.21;1581.931;3214.9238;0.1412553947932734;0.867994120329411
ligand35504-0;-2020.08754016;15.1152;0.07;0.101;0.2041470958872723;0.7557566731584373;0.0400962309542903;0.0;0.171;0.0115426105717367;0.9006472491909384;0.0878101402373247;0.0;-2020.15049552;10.8314;0.1119999999999999;0.068;0.2192705039004849;0.7515285684166139;0.0292009276829011;0.0;0.18;0.0154501864677677;0.9068726691529037;0.0776771443793287;0.0;303.47;3060.395;3131.9663;;
ligand35505-0;-1012.18920939;9.266;0.122;-0.166;0.3601171793262188;0.6154007114459094;0.0244821092278719;0.0;-0.044;0.0;0.9630466719403324;0.0369533280596677;0.0;-1012.19936333;7.9146;0.134;-0.183;0.3347044814894998;0.6400736090062784;0.0252219095042216;0.0;-0.049;0.0;0.9625560538116592;0.0374439461883408;0.0;285.67;2567.372;3232.1755;;
ligand35506-0;-444.495494378;2.6179;0.202;-0.28;0.1359516616314199;0.8260235441191791;0.0380247942494009;0.0;-0.078;0.0;0.9532585195099352;0.0467414804900648;0.0;-444.496662377;2.3961;0.207;-0.281;0.0;0.9769499897098168;0.0230500102901831;0.0;-0.074;0.0;0.95311695002576;0.04688304997424;0.0;77.68;737.353;3147.5941;0.1609846245751049;0.8390154202679936
ligand35507-0;-543.29714978;3.9131;0.186;-0.242;0.1747381520273773;0.8144768225655916;0.010785025407031;0.0;-0.056;0.0149570382942611;0.9455818393974752;0.0394611223082634;0.0;-543.322309669;2.8726;0.178;-0.219;0.0;1.0;0.0;0.0;-0.041;0.0;0.95803469408954;0.0419653059104601;0.0;106.64;1245.476;3622.3421;0.0976100623437467;0.9027690998955136
