name;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand7854-0;3.1612800000000014;2;0;2;1
ligand7855-0;6.235900000000004;4;3;0;3
ligand7856-0;1.3038;0;0;0;9
ligand7857-0;2.2767;1;1;0;0
ligand7858-0;3.5466000000000024;0;2;0;13
ligand7859-0;3.9188900000000046;0;4;0;7
ligand7860-0;0.93139;1;1;0;4
ligand7861-0;0.7963999999999999;0;2;0;6
ligand7862-0;4.091400000000003;0;4;0;1
ligand7863-0;4.1554;1;2;1;6
ligand7864-0;3.5829900000000015;1;1;0;2
ligand7865-0;2.7976900000000002;1;1;0;6
ligand7866-0;3.00043;1;1;0;3
ligand7867-0;3.7479200000000015;0;1;0;7
ligand7868-0;3.102990000000002;1;0;0;6
ligand7869-0;2.2433999999999994;0;2;0;2
ligand7870-0;-0.181;0;0;0;1
ligand7870-1;-0.181;0;0;0;1
ligand7871-0;2.8756900000000014;1;3;0;3
ligand7872-0;0.43038999999999994;1;1;0;0
ligand7873-0;4.346690000000002;0;2;0;6
ligand7874-0;1.82227;0;0;0;4
ligand7875-0;1.75044;0;3;0;4
ligand7876-0;2.251990000000001;1;0;0;2
ligand7877-0;7.1017000000000055;0;0;0;2
ligand7878-0;2.32324;0;2;0;5
ligand7879-0;2.8280900000000013;1;0;0;5
ligand7880-0;3.0504000000000016;0;3;0;5
ligand7881-0;0.52118;0;0;0;7
ligand7882-0;1.0624999999999998;0;2;0;2
ligand7883-0;2.9914000000000014;0;1;0;6
ligand7884-0;1.9721999999999997;0;1;0;5
ligand7885-0;6.501200000000004;0;3;0;3
ligand7886-0;5.7042900000000065;0;5;0;7
ligand7887-0;4.004390000000001;1;0;0;7
ligand7888-0;6.039600000000004;0;2;0;13
ligand7889-0;4.3313400000000035;0;3;0;6
ligand7890-0;1.52048;0;1;0;8
ligand7891-0;4.647000000000002;0;2;0;2
ligand7892-0;2.8070000000000004;0;2;0;4
ligand7893-0;2.40268;0;1;0;8
ligand7894-0;4.197840000000001;0;2;0;4
ligand7895-0;0.45469000000000004;1;0;0;2
ligand7896-0;5.648000000000003;0;3;0;11
ligand7897-0;1.8698000000000001;0;1;0;6
ligand7898-0;1.1905999999999999;0;1;0;4
ligand7899-0;2.5706300000000004;1;1;0;4
ligand7900-0;2.27323;0;1;0;7
ligand7901-0;2.1907000000000014;0;1;0;4
ligand7902-0;1.7027699999999997;1;2;0;9
ligand7903-0;5.440980000000005;1;1;0;4
ligand7904-0;3.9654900000000026;1;3;0;4
ligand7905-0;7.3844700000000065;4;5;0;7
ligand7906-0;-0.8414200000000001;0;0;0;4
ligand7907-0;1.3747900000000002;1;0;0;5
ligand7908-0;1.57259;1;1;0;4
ligand7909-0;0.986;1;1;0;1
ligand7910-0;1.9828;0;1;0;2
ligand7911-0;11.553999999999997;1;4;0;16
ligand7912-0;1.5052999999999999;0;0;0;2
ligand7913-0;1.99794;1;1;1;3
ligand7914-0;2.433150000000001;1;0;1;6
ligand7915-0;2.19238;2;1;0;3
ligand7916-0;1.5999999999999999;1;0;1;5
ligand7917-0;1.5331;0;1;0;3
ligand7918-0;3.925390000000002;2;3;2;12
ligand7919-0;4.570960000000003;0;3;0;6
ligand7920-0;3.5097000000000014;0;2;0;5
ligand7921-0;1.1431999999999998;0;0;0;7
ligand7922-0;6.901990000000005;2;0;0;3
ligand7923-0;-1.3484;0;0;0;5
ligand7924-0;3.898990000000002;3;0;0;10
ligand7925-0;0.2720999999999998;0;2;0;2
ligand7926-0;4.9952900000000025;0;3;0;6
ligand7927-0;3.855680000000002;1;3;0;4
ligand7928-0;1.2688;0;1;0;1
ligand7929-0;-1.7301099999999983;2;1;1;8
ligand7930-0;2.2489999999999997;0;1;0;2
ligand7930-1;2.2489999999999997;0;1;0;2
ligand7931-0;5.3461900000000036;1;2;0;10
ligand7932-0;0.22820000000000007;0;1;0;1
ligand7933-0;7.801340000000006;0;3;0;12
ligand7934-0;2.4157900000000003;1;2;0;2
ligand7935-0;9.716799999999994;2;4;0;8
ligand7936-0;3.3024000000000013;0;3;0;2
ligand7937-0;5.282670000000003;0;2;0;11
ligand7938-0;1.67282;0;2;0;4
ligand7939-0;7.7642100000000065;0;3;0;11
ligand7940-0;2.8396000000000017;0;2;0;6
ligand7941-0;1.2583000000000002;0;1;0;3
ligand7942-0;2.11132;0;1;0;4
ligand7943-0;4.867100000000002;0;2;0;5
ligand7944-0;1.4277000000000002;0;2;0;4
ligand7945-0;6.239000000000003;0;5;0;4
ligand7946-0;3.10919;0;1;0;10
ligand7947-0;2.4463;0;2;0;3
ligand7948-0;8.637190000000002;2;3;2;8
ligand7949-0;0.4262899999999994;4;0;2;1
ligand7950-0;4.806800000000004;0;0;0;5
ligand7951-0;4.249600000000001;0;3;0;2
ligand7952-0;1.8051699999999997;0;0;0;4
ligand7952-1;1.8051699999999997;0;0;0;4
ligand7953-0;3.2581800000000003;0;0;0;14
ligand7954-0;1.9864999999999997;1;1;1;4
ligand7955-0;3.2618;0;1;0;0
ligand7956-0;-0.5328000000000002;0;0;0;1
ligand7957-0;4.636300000000002;0;3;0;7
ligand7958-0;6.433400000000007;2;2;2;10
ligand7959-0;3.664690000000002;1;1;0;4
ligand7960-0;6.090080000000002;0;4;0;5
ligand7961-0;1.1411;0;0;0;1
ligand7962-0;6.208700000000004;0;4;0;6
ligand7963-0;11.292879999999993;0;6;0;11
ligand7964-0;7.575300000000003;0;2;0;6
ligand7965-0;2.8786400000000008;0;2;0;5
ligand7966-0;2.1552100000000003;0;2;0;8
ligand7967-0;0.6770999999999999;0;1;0;3
ligand7968-0;1.47429;1;1;0;0
ligand7969-0;2.9953000000000003;0;1;0;3
ligand7970-0;8.033890000000007;1;0;0;5
ligand7971-0;3.5551000000000013;0;4;0;2
ligand7972-0;4.977400000000002;2;0;2;4
ligand7973-0;2.0607899999999995;1;2;0;2
ligand7974-0;-0.7296000000000002;0;1;0;0
ligand7975-0;4.541000000000002;0;0;0;8
ligand7976-0;3.571790000000002;2;2;1;11
ligand7977-0;2.1955899999999993;0;1;0;2
ligand7978-0;3.602800000000002;3;2;3;3
ligand7979-0;1.9977999999999996;0;2;0;4
ligand7980-0;2.7556599999999998;0;1;0;3
ligand7981-0;2.4432;0;2;0;10
ligand7982-0;2.314700000000001;0;2;0;4
ligand7983-0;10.593069999999999;0;3;0;16
ligand7984-0;4.136800000000003;0;2;0;7
ligand7985-0;1.6499899999999996;1;1;0;3
ligand7986-0;2.87958;0;2;0;19
ligand7987-0;2.630600000000001;2;0;0;3
ligand7988-0;8.203880000000007;2;4;0;6
ligand7989-0;1.60229;1;1;0;1
ligand7990-0;1.2700299999999998;0;0;0;4
ligand7991-0;0.48919999999999997;0;0;0;0
ligand7992-0;4.764890000000004;1;3;0;8
ligand7993-0;5.133020000000004;0;2;0;8
ligand7994-0;2.994690000000001;0;2;0;8
ligand7995-0;6.877440000000005;0;6;0;9
ligand7996-0;7.992400000000009;0;4;0;13
ligand7997-0;3.528000000000003;0;3;0;10
ligand7998-0;4.4922900000000014;1;1;0;2
ligand7999-0;3.997200000000002;0;0;0;5
ligand8000-0;3.9408900000000004;1;2;0;2
ligand8001-0;4.3146;0;2;0;6
ligand8002-0;2.1649000000000003;0;1;0;3
ligand8003-0;5.169390000000005;1;2;0;7
ligand8004-0;5.380190000000005;1;2;0;8
ligand8005-0;2.9384000000000006;1;2;0;0
ligand8006-0;0.048239999999999894;0;1;0;8
ligand8007-0;0.013369999999999882;0;1;0;3
ligand8008-0;2.4745;0;1;0;5
ligand8009-0;4.639790000000003;1;2;0;7
ligand8010-0;5.673000000000004;0;5;0;3
ligand8011-0;2.3920000000000003;0;1;0;1
ligand8012-0;2.392000000000001;0;1;0;1
ligand8013-0;4.109390000000002;1;1;1;10
ligand8014-0;4.353790000000002;1;1;0;1
ligand8015-0;2.2667;0;1;0;0
ligand8016-0;6.761940000000005;0;5;0;9
ligand8017-0;0.03618999999999989;1;0;1;3
ligand8018-0;3.604700000000001;0;3;0;5
ligand8019-0;3.9887000000000024;0;3;0;3
ligand8020-0;7.3398000000000065;0;7;0;9
ligand8021-0;5.358000000000001;0;2;0;5
ligand8022-0;1.7972699999999997;1;2;0;6
ligand8023-0;3.586700000000002;0;3;0;5
ligand8024-0;1.9445999999999999;0;1;0;3
ligand8025-0;6.462000000000003;0;4;0;9
ligand8026-0;4.358860000000002;2;1;0;5
ligand8027-0;1.4710999999999999;0;2;0;7
ligand8028-0;1.2039600000000001;1;0;1;8
ligand8029-0;6.5805800000000065;3;2;0;6
ligand8030-0;1.3414;1;1;1;1
ligand8031-0;3.2722000000000016;1;2;1;6
ligand8032-0;-0.9421999999999995;0;0;0;7
ligand8033-0;0.8395000000000001;0;1;0;2
ligand8034-0;-2.3261999999999974;0;0;0;11
ligand8035-0;1.0751;1;0;1;5
ligand8036-0;8.123200000000004;0;6;0;3
ligand8037-0;3.1693000000000007;0;2;0;2
ligand8038-0;2.2796900000000004;0;1;0;2
ligand8039-0;2.0879900000000005;0;0;0;2
ligand8040-0;3.5253900000000007;1;1;0;3
ligand8041-0;6.2858000000000045;2;3;2;4
ligand8042-0;3.620700000000004;0;2;0;10
ligand8043-0;0.9368400000000001;0;1;0;2
ligand8044-0;2.281250000000001;1;0;0;6
ligand8045-0;5.991080000000004;3;0;0;9
ligand8046-0;4.262900000000003;0;2;0;21
ligand8047-0;2.9414000000000007;0;2;0;5
ligand8048-0;1.62059;0;0;0;3
ligand8049-0;2.6239000000000017;0;2;0;2
ligand8050-0;1.6861;0;1;0;1
ligand8051-0;4.4496;0;2;0;3
ligand8052-0;5.641920000000005;0;2;0;9
ligand8053-0;2.826480000000001;2;1;0;0
ligand8054-0;4.810000000000005;0;0;0;13
ligand8055-0;1.8071899999999999;1;0;1;6
ligand8056-0;0.9204999999999998;0;1;0;3
ligand8057-0;3.4314000000000027;3;0;0;0
ligand8058-0;5.734290000000004;1;1;0;9
ligand8059-0;3.9940900000000026;0;3;0;5
ligand8060-0;4.756790000000004;1;3;1;8
ligand8061-0;1.4085599999999998;0;0;0;7
ligand8062-0;6.270490000000004;2;0;1;9
ligand8063-0;1.2559999999999998;0;0;0;6
ligand8064-0;9.062460000000003;5;3;0;8
ligand8065-0;1.4359;0;2;0;6
ligand8066-0;2.7558000000000007;2;1;0;2
ligand8067-0;1.81359;1;1;0;8
ligand8068-0;2.3099999999999996;0;2;0;4
ligand8069-0;2.673700000000001;0;2;0;5
ligand8070-0;2.3424900000000006;2;0;0;1
ligand8071-0;5.273400000000003;0;2;0;8
ligand8072-0;1.2893999999999999;1;0;0;0
ligand8073-0;0.044369999999999965;0;0;0;4
ligand8074-0;0.61349;1;0;0;1
ligand8075-0;0.61349;1;0;0;1
ligand8076-0;-1.7111999999999996;0;0;0;7
ligand8077-0;0.4275000000000001;0;0;0;0
ligand8078-0;1.92678;0;0;0;5
ligand8079-0;1.0229400000000002;0;0;0;2
ligand8080-0;1.00814;0;0;0;2
ligand8081-0;7.068800000000006;1;3;1;10
ligand8082-0;4.0124900000000014;0;2;0;5
ligand8083-0;3.4842000000000004;0;4;0;4
ligand8084-0;1.76;0;1;0;2
ligand8085-0;1.39659;0;0;0;2
ligand8086-0;5.107790000000003;1;3;0;7
ligand8087-0;1.79198;0;2;0;12
ligand8088-0;5.848600000000004;0;4;0;11
ligand8089-0;3.166290000000001;0;1;0;1
ligand8090-0;1.3364699999999998;0;1;0;5
ligand8091-0;3.9017000000000026;0;3;0;5
ligand8092-0;2.9933200000000006;0;1;0;8
ligand8093-0;2.41148;0;2;0;2
ligand8094-0;5.050700000000003;0;3;0;4
ligand8095-0;8.724800000000002;0;2;0;18
ligand8096-0;7.942080000000006;0;3;0;4
ligand8097-0;-0.12870000000000004;2;0;2;2
ligand8098-0;9.175200000000002;0;3;0;19
ligand8099-0;2.956880000000001;3;2;0;0
ligand8100-0;5.449290000000004;5;0;4;8
ligand8101-0;1.9086999999999992;0;2;0;3
ligand8102-0;3.1978000000000018;0;1;0;3
ligand8103-0;5.186920000000003;0;2;0;3
ligand8104-0;8.258900000000006;0;3;0;18
ligand8105-0;3.2552900000000013;0;2;0;4
ligand8106-0;4.547150000000002;1;3;0;5
ligand8107-0;3.982890000000001;0;1;0;4
ligand8108-0;3.0383000000000004;1;2;0;11
ligand8109-0;2.9458;1;1;1;10
ligand8110-0;4.004390000000003;1;0;0;11
ligand8111-0;4.888600000000004;0;3;0;7
ligand8112-0;-1.916999999999999;0;0;0;9
ligand8113-0;1.5883999999999998;0;2;0;3
ligand8114-0;4.532890000000001;1;3;0;1
ligand8115-0;1.4147999999999998;0;1;0;1
ligand8116-0;2.6585099999999997;0;2;0;2
ligand8117-0;-0.3151999999999999;0;1;0;2
ligand8118-0;2.957670000000002;1;0;1;4
ligand8119-0;1.638;0;1;0;0
ligand8120-0;4.179200000000003;0;6;0;9
ligand8121-0;1.6220999999999999;0;3;0;3
ligand8122-0;1.9866;0;1;0;6
ligand8123-0;1.85299;0;0;0;4
ligand8124-0;1.00238;0;0;0;8
ligand8125-0;1.1869999999999998;0;1;0;1
ligand8126-0;1.9959399999999998;0;1;0;3
ligand8127-0;8.548490000000005;2;3;0;12
ligand8128-0;1.6323999999999999;0;0;0;2
ligand8129-0;2.2643900000000006;0;0;0;4
ligand8130-0;4.029790000000002;1;0;0;8
ligand8131-0;4.382600000000002;0;3;0;5
ligand8132-0;1.8634999999999997;0;2;0;3
ligand8133-0;2.0394999999999994;0;2;0;3
ligand8134-0;10.417159999999996;2;6;0;7
ligand8135-0;1.5569899999999999;0;0;0;0
ligand8136-0;3.524680000000002;3;0;1;4
ligand8137-0;1.0884799999999997;0;2;0;4
ligand8138-0;0.24870000000000003;0;1;0;2
ligand8139-0;2.1225999999999994;0;4;0;2
ligand8140-0;10.51559;1;3;0;3
ligand8141-0;4.302900000000002;0;2;0;4
ligand8142-0;2.1025;0;0;0;6
ligand8143-0;1.4786000000000001;1;1;1;3
ligand8144-0;2.6342;1;2;0;2
ligand8145-0;3.565050000000001;1;0;1;6
ligand8146-0;5.587800000000002;0;3;0;3
ligand8147-0;3.560600000000001;0;3;0;3
ligand8148-0;-0.23300000000000018;4;1;2;2
ligand8149-0;0.08840000000000015;3;2;2;0
ligand8150-0;3.371600000000001;0;2;0;3
ligand8151-0;6.508000000000005;0;4;0;7
ligand8152-0;6.246890000000004;9;1;8;2
ligand8153-0;9.37288;1;4;1;10
ligand8154-0;2.2009999999999996;1;0;1;8
ligand8155-0;2.1020900000000005;0;1;0;6
ligand8156-0;2.3765;1;1;1;5
ligand8157-0;2.0808;0;0;0;3
ligand8158-0;0.8823199999999998;0;1;0;3
ligand8159-0;1.42408;2;0;1;1
ligand8160-0;-1.8393000000000002;0;0;0;4
ligand8161-0;5.868780000000002;3;0;1;4
ligand8162-0;-0.16581;1;0;0;0
ligand8163-0;1.5415999999999999;1;0;1;5
ligand8164-0;3.0770800000000023;0;1;0;8
ligand8165-0;3.7310000000000008;0;0;0;12
ligand8166-0;2.8341900000000004;1;2;0;6
ligand8167-0;2.23449;1;0;0;0
ligand8168-0;5.087520000000004;2;2;0;2
ligand8169-0;2.8318000000000003;0;0;0;12
ligand8170-0;4.129700000000002;0;2;0;2
ligand8171-0;5.125400000000005;0;4;0;6
ligand8172-0;4.729390000000002;0;2;0;3
ligand8173-0;4.646390000000003;1;2;0;6
ligand8174-0;4.181890000000003;0;2;0;8
ligand8175-0;6.145500000000007;0;2;0;13
ligand8176-0;-0.6591;0;0;0;0
ligand8176-1;-0.6591;0;0;0;0
ligand8177-0;7.474600000000009;0;3;0;16
ligand8178-0;4.970000000000003;0;1;0;9
ligand8179-0;3.6603900000000023;1;1;0;9
ligand8180-0;3.515100000000003;1;3;1;4
ligand8181-0;1.5328;1;0;1;0
ligand8182-0;5.544190000000007;0;4;0;6
ligand8183-0;3.19892;0;2;0;3
ligand8184-0;2.9247000000000005;0;3;0;5
ligand8185-0;1.34882;0;2;0;5
ligand8186-0;1.34882;0;2;0;5
ligand8187-0;4.5547800000000045;0;2;0;25
ligand8188-0;4.638490000000004;1;3;0;4
ligand8189-0;1.252;1;2;0;0
ligand8190-0;2.8669200000000004;1;1;1;5
ligand8191-0;4.858070000000002;0;2;0;6
ligand8192-0;3.02479;1;0;0;3
ligand8193-0;0.5682200000000002;1;1;0;4
ligand8194-0;0.8755899999999999;1;1;1;1
ligand8195-0;3.597900000000002;0;4;0;1
ligand8196-0;5.175000000000003;0;5;0;0
ligand8197-0;1.1177899999999998;1;1;0;5
ligand8198-0;1.1172;1;0;1;4
ligand8199-0;2.6145700000000005;0;1;0;9
ligand8200-0;3.0241000000000016;0;2;0;6
ligand8201-0;2.868100000000001;0;2;0;10
ligand8202-0;9.725099999999998;0;6;0;11
ligand8203-0;5.069490000000003;1;2;0;11
ligand8204-0;4.8721900000000025;1;3;0;4
ligand8205-0;7.511000000000004;0;3;0;8
ligand8206-0;1.9445999999999999;0;0;0;0
ligand8207-0;-0.8477999999999999;1;0;1;3
ligand8208-0;2.1311999999999998;0;3;0;8
ligand8209-0;3.3069900000000008;1;1;0;8
ligand8210-0;1.7461999999999998;0;0;0;0
ligand8211-0;4.4650000000000025;0;2;0;11
ligand8212-0;4.082290000000003;0;3;0;4
ligand8213-0;3.4036000000000017;0;3;0;4
ligand8214-0;7.165070000000005;9;0;6;6
ligand8215-0;4.1407000000000025;0;2;0;6
ligand8216-0;0.72852;0;1;0;2
ligand8217-0;2.5238900000000006;2;1;2;3
ligand8218-0;4.205040000000001;0;4;0;9
ligand8219-0;6.0156000000000045;2;1;2;3
ligand8220-0;1.25848;0;1;0;0
ligand8221-0;3.3915000000000006;0;1;0;4
ligand8222-0;4.444290000000003;1;2;0;6
ligand8223-0;0.4531;0;1;0;3
ligand8224-0;3.912200000000002;0;3;0;5
ligand8225-0;5.857100000000007;2;4;0;11
ligand8226-0;3.8791900000000012;1;2;0;3
ligand8227-0;1.9486399999999995;0;2;0;8
ligand8228-0;2.806680000000001;1;0;0;8
ligand8229-0;3.4448000000000016;0;2;0;3
ligand8230-0;0.11599999999999999;0;0;0;1
ligand8231-0;3.3362700000000007;1;1;0;6
ligand8232-0;1.5446000000000002;1;0;1;1
ligand8233-0;7.439000000000006;0;2;0;19
ligand8234-0;4.119200000000002;3;2;0;2
ligand8235-0;4.677990000000002;1;2;0;6
ligand8236-0;7.530100000000009;0;3;0;17
ligand8237-0;4.011700000000001;0;3;0;1
ligand8238-0;1.15919;1;0;0;4
ligand8239-0;3.341400000000001;0;3;0;3
ligand8240-0;5.787580000000003;0;4;0;11
ligand8241-0;2.3178;0;2;0;3
ligand8242-0;10.594799999999996;0;10;0;3
ligand8243-0;2.1909;0;2;0;3
ligand8244-0;2.399200000000002;0;3;0;4
ligand8245-0;2.161800000000001;0;3;0;3
ligand8246-0;2.634900000000002;0;2;0;9
ligand8247-0;2.1231;0;1;0;8
ligand8248-0;6.872580000000008;1;4;0;7
ligand8249-0;1.5722099999999999;0;1;0;2
ligand8250-0;10.463999999999995;1;8;0;4
ligand8251-0;-0.5907000000000002;0;1;0;1
ligand8252-0;3.3800000000000017;0;1;0;1
ligand8253-0;4.151890000000003;1;2;0;5
ligand8254-0;6.785740000000006;0;2;0;5
ligand8255-0;1.8617899999999998;0;0;0;6
ligand8256-0;1.2773999999999996;0;1;0;3
ligand8257-0;3.8930000000000025;1;3;0;2
ligand8258-0;1.203;1;2;0;2
ligand8259-0;3.8401000000000023;0;0;0;15
ligand8260-0;2.8326000000000002;0;2;0;12
ligand8261-0;6.1083900000000035;1;4;0;4
ligand8262-0;1.4829999999999999;1;0;1;0
ligand8263-0;3.006900000000001;0;3;0;2
ligand8264-0;2.4169;1;2;0;0
ligand8265-0;2.32676;2;0;0;4
ligand8266-0;4.324500000000003;0;3;0;4
ligand8267-0;1.7885;2;0;2;3
ligand8268-0;3.4920000000000018;0;2;0;4
ligand8269-0;3.4997800000000012;0;2;0;13
ligand8270-0;2.7928900000000008;1;1;0;4
ligand8271-0;3.6975900000000017;0;2;0;5
ligand8272-0;0.8682;0;1;0;2
ligand8273-0;5.951190000000006;1;3;0;6
ligand8274-0;4.904200000000002;0;2;0;3
ligand8275-0;3.753740000000003;0;0;0;12
ligand8276-0;1.7257899999999997;1;1;0;6
ligand8277-0;2.40219;1;2;0;1
ligand8278-0;1.6814000000000002;1;0;1;8
ligand8279-0;1.1581;0;2;0;10
ligand8280-0;3.821880000000003;1;2;1;3
ligand8281-0;1.38019;0;1;0;5
ligand8282-0;1.7624;0;4;0;4
ligand8283-0;2.4506900000000007;1;2;0;2
ligand8284-0;4.839180000000003;2;4;0;10
ligand8285-0;2.6171700000000007;0;1;0;0
ligand8286-0;1.5923;0;0;0;2
ligand8287-0;2.929290000000001;0;0;0;10
ligand8288-0;6.177400000000007;0;5;0;8
ligand8289-0;3.1795000000000004;0;1;0;6
ligand8290-0;2.0768999999999997;0;1;0;6
ligand8291-0;2.2430699999999995;1;1;1;7
ligand8292-0;-1.36081;1;0;1;5
ligand8293-0;2.8128900000000012;4;0;3;1
ligand8294-0;2.2150999999999996;0;2;0;4
ligand8295-0;2.7432000000000007;0;2;0;4
ligand8296-0;3.5294000000000025;0;2;0;9
ligand8297-0;0.21077999999999975;4;0;2;3
ligand8298-0;1.1459899999999998;1;0;0;11
ligand8299-0;2.525900000000001;0;2;0;6
ligand8300-0;1.89149;1;0;0;6
ligand8301-0;6.809500000000006;0;3;0;8
ligand8302-0;5.519490000000005;2;2;0;7
ligand8303-0;9.490569999999995;2;4;0;6
ligand8304-0;0.3094;1;0;0;6
ligand8305-0;4.379100000000003;1;3;1;6
ligand8306-0;7.150200000000005;0;4;0;8
ligand8307-0;4.496700000000002;1;3;0;1
ligand8308-0;5.502350000000003;1;4;0;5
ligand8309-0;2.09509;1;0;0;5
ligand8310-0;5.519010000000004;0;3;0;6
ligand8311-0;2.3974900000000003;1;1;0;7
ligand8312-0;2.646790000000001;4;0;4;0
ligand8313-0;1.7872999999999999;0;1;0;3
ligand8314-0;1.5201799999999999;2;1;0;4
ligand8315-0;8.190800000000003;0;2;0;7
ligand8316-0;2.141;0;3;0;6
ligand8317-0;2.663590000000001;1;1;0;3
ligand8318-0;6.512900000000008;0;2;0;10
ligand8319-0;4.226840000000002;0;5;0;10
ligand8320-0;4.998700000000003;0;3;0;6
ligand8321-0;1.68078;4;2;0;9
ligand8322-0;2.0639700000000003;0;1;0;5
ligand8323-0;10.35429;0;2;0;16
ligand8324-0;0.44149999999999984;0;0;0;4
ligand8325-0;2.0972299999999997;0;1;0;7
ligand8326-0;5.0250800000000035;0;2;0;7
ligand8327-0;5.027580000000004;0;4;0;4
ligand8328-0;5.031200000000006;0;4;0;11
ligand8329-0;2.008400000000001;0;2;0;3
ligand8330-0;7.0776000000000066;0;1;0;18
ligand8331-0;0.3746999999999998;0;0;0;3
ligand8332-0;8.443490000000002;1;4;0;10
ligand8333-0;3.8027200000000017;0;2;0;4
ligand8334-0;3.6260600000000016;1;1;1;5
ligand8335-0;2.05098;0;1;0;2
ligand8336-0;1.12559;3;0;2;8
ligand8337-0;3.3425800000000008;0;3;0;12
ligand8338-0;3.5943700000000014;0;1;0;5
ligand8339-0;3.2453900000000004;1;2;0;6
ligand8340-0;5.084200000000002;0;6;0;6
ligand8341-0;2.907600000000002;1;2;0;3
ligand8342-0;3.3458000000000023;1;2;0;2
ligand8343-0;6.159940000000005;0;3;0;9
ligand8344-0;0.8991999999999999;1;1;0;5
ligand8345-0;-0.8867300000000002;1;1;0;2
ligand8346-0;3.2760000000000007;0;2;0;3
ligand8347-0;3.902300000000002;0;2;0;6
ligand8348-0;1.7523800000000003;2;0;0;2
ligand8349-0;5.101420000000002;0;2;0;4
ligand8350-0;1.9351900000000002;2;0;0;3
ligand8351-0;3.0310000000000006;1;3;0;2
ligand8352-0;4.734200000000002;0;3;0;2
ligand8353-0;2.5644;1;1;1;5
ligand8354-0;0.7990899999999999;1;0;0;1
ligand8355-0;4.030770000000002;1;2;0;6
ligand8356-0;1.2992;0;2;0;4
ligand8357-0;5.401400000000004;3;2;0;14
ligand8358-0;3.9425000000000017;1;0;0;9
ligand8359-0;0.6038000000000003;1;1;1;1
ligand8360-0;2.1363000000000003;0;0;0;5
ligand8361-0;4.9730000000000025;0;0;0;12
ligand8362-0;5.6989000000000045;0;4;0;9
ligand8363-0;4.523800000000002;0;2;0;10
ligand8364-0;6.257300000000004;2;2;2;6
ligand8365-0;-0.17401999999999995;1;0;1;3
ligand8366-0;2.894000000000001;4;1;1;0
ligand8367-0;2.5755999999999997;0;3;0;8
ligand8368-0;4.727980000000003;3;0;1;2
ligand8369-0;3.6972000000000014;2;1;0;5
ligand8370-0;2.7113000000000005;0;1;0;5
ligand8371-0;3.557920000000001;4;1;4;3
ligand8372-0;2.591;1;3;0;1
ligand8373-0;6.637300000000009;2;3;2;11
ligand8374-0;7.213520000000006;0;3;0;12
ligand8374-1;7.213520000000006;0;3;0;12
ligand8375-0;3.868400000000002;0;2;0;6
ligand8376-0;3.5243900000000012;0;1;0;6
ligand8377-0;8.569400000000002;0;2;0;19
ligand8378-0;3.8008900000000017;1;1;0;2
ligand8379-0;0.2759;0;1;0;2
ligand8380-0;1.3008899999999999;1;1;0;2
ligand8381-0;6.347400000000008;0;5;0;8
ligand8382-0;4.4098000000000015;0;3;0;11
ligand8383-0;7.200800000000007;1;2;0;14
ligand8384-0;3.643200000000001;0;2;0;7
ligand8385-0;4.584600000000002;1;2;0;0
ligand8386-0;3.5924000000000005;0;0;0;9
ligand8387-0;3.148690000000001;2;2;0;5
ligand8388-0;1.4023999999999996;0;1;0;3
ligand8389-0;2.3082000000000003;0;2;0;3
ligand8390-0;1.64197;3;0;0;6
ligand8391-0;2.7765000000000004;0;2;0;1
ligand8392-0;4.530790000000004;1;0;0;9
ligand8393-0;2.762200000000001;0;2;0;10
ligand8394-0;1.83599;1;0;0;3
ligand8395-0;3.6961000000000026;0;3;0;6
ligand8396-0;3.707200000000002;0;1;0;8
ligand8397-0;5.810000000000004;0;3;0;8
ligand8398-0;6.2987300000000035;1;2;0;12
ligand8399-0;-0.17079999999999995;0;0;0;1
ligand8400-0;4.0668000000000015;6;0;2;0
ligand8401-0;6.9228800000000055;4;2;0;8
ligand8402-0;4.1964000000000015;0;2;0;3
ligand8403-0;4.763390000000005;0;2;0;7
ligand8404-0;2.2985999999999995;1;2;0;3
ligand8405-0;3.7479900000000015;1;2;0;1
ligand8406-0;1.0838;0;0;0;0
ligand8407-0;-0.16971000000000003;0;0;0;6
ligand8408-0;1.5045;0;1;0;4
ligand8409-0;1.97237;0;1;0;2
ligand8410-0;2.5749900000000006;0;1;0;3
ligand8411-0;6.547580000000004;3;0;0;12
ligand8412-0;0.8770999999999999;0;0;0;3
ligand8413-0;5.677590000000006;1;3;0;6
ligand8414-0;4.351490000000001;1;0;0;8
ligand8415-0;2.9026400000000008;0;1;0;4
ligand8416-0;2.9801900000000003;1;2;0;6
ligand8417-0;6.770890000000006;1;4;1;6
ligand8418-0;6.450790000000006;0;2;0;13
ligand8419-0;4.291800000000001;0;1;0;5
ligand8420-0;4.545200000000003;0;3;0;12
ligand8421-0;3.5318000000000014;0;3;0;0
ligand8422-0;2.1215900000000003;0;2;0;4
ligand8423-0;7.823600000000004;0;1;0;6
ligand8424-0;-1.1462199999999976;6;0;6;0
ligand8425-0;-0.028999999999999027;3;0;3;0
ligand8426-0;8.462800000000003;17;0;1;0
ligand8427-0;1.91988;0;1;0;4
ligand8428-0;4.156600000000003;2;3;2;2
ligand8429-0;0.9769899999999998;0;1;0;6
ligand8430-0;0.05620000000000003;2;0;1;0
ligand8431-0;2.2485;1;2;1;7
