name;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand139-0;2.990990000000001;1;1;0;4
ligand140-0;-0.1768;0;0;0;0
ligand141-0;0.3535;0;0;0;3
ligand142-0;-0.42510000000000003;0;0;0;1
ligand143-0;2.755280000000001;2;0;2;6
ligand144-0;2.889030000000001;0;1;0;3
ligand145-0;0.8536;0;0;0;0
ligand146-0;0.9823999999999999;0;0;0;9
ligand147-0;5.091800000000004;2;0;2;7
ligand148-0;1.0304;0;0;0;2
ligand149-0;1.8303999999999998;0;1;0;0
ligand150-0;1.1562000000000001;0;0;0;13
ligand151-0;4.071690000000003;3;0;3;6
ligand152-0;1.3136999999999999;0;1;0;2
ligand152-1;1.3136999999999999;0;1;0;2
ligand153-0;4.473600000000003;0;4;0;2
ligand154-0;1.4991;0;1;0;1
ligand155-0;4.128000000000003;1;4;0;5
ligand156-0;0.8509999999999999;0;1;0;2
ligand157-0;1.11129;1;0;0;4
ligand158-0;2.7994000000000003;0;1;0;0
ligand159-0;0.851;0;1;0;2
ligand160-0;0.09830000000000001;0;0;0;0
ligand161-0;0.35478;0;0;0;2
ligand162-0;4.869100000000003;0;3;0;5
ligand163-0;4.492400000000003;3;2;1;4
ligand164-0;1.4717900000000002;1;0;0;0
ligand165-0;2.5280000000000014;0;0;0;6
ligand166-0;0.9792;0;0;0;2
ligand167-0;0.36869;0;0;0;4
ligand168-0;4.993600000000005;1;1;0;9
ligand169-0;0.4368;0;0;0;1
ligand170-0;3.687000000000002;0;3;0;1
ligand171-0;1.3440200000000002;0;1;0;4
ligand172-0;2.964200000000001;0;3;0;3
ligand173-0;2.4648000000000003;0;2;0;2
ligand174-0;0.49379999999999985;0;2;0;1
ligand175-0;0.4937999999999997;0;2;0;1
ligand176-0;4.049800000000003;0;0;0;3
ligand177-0;3.501400000000002;2;1;2;4
ligand178-0;1.18488;0;0;0;4
ligand179-0;0.15269999999999992;0;1;0;4
ligand180-0;0.1527;0;1;0;4
ligand181-0;2.49179;1;0;0;7
ligand182-0;3.055300000000001;0;3;0;2
ligand183-0;3.068570000000001;2;0;0;0
ligand184-0;3.370400000000001;0;2;0;5
ligand185-0;4.536040000000003;0;3;0;7
ligand186-0;2.1574;0;1;0;1
ligand187-0;1.9944999999999997;0;0;0;1
ligand188-0;1.40359;1;0;0;4
ligand189-0;2.749180000000001;1;0;1;0
ligand190-0;1.9591999999999996;0;2;0;5
ligand191-0;5.702490000000005;0;4;0;8
ligand192-0;2.2348;0;2;0;0
ligand193-0;6.749200000000005;0;5;0;5
ligand194-0;2.0331899999999994;1;1;1;1
ligand195-0;10.181899999999992;0;9;0;3
ligand196-0;1.9528;0;1;0;1
ligand197-0;3.903600000000001;0;2;0;0
ligand198-0;2.2092;0;2;0;5
ligand199-0;0.8252999999999999;0;0;0;2
ligand200-0;1.3353899999999999;1;0;0;8
ligand201-0;7.622180000000006;3;2;0;8
