name;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds;exact_cone_angle;buried_volume;solid_angle;solid_cone_angle;G_parameter;sasa_area_stable;sasa_volume_stable;sasa_area_free;sasa_volume_free;L*-energy;L*-dipole_moment;L*-homo_lumo_gap;L*-metal_bound_homo_energy;L*-metal_bound_homo_s;L*-metal_bound_homo_p;L*-metal_bound_homo_d;L*-metal_bound_homo_f;L*-metal_bound_lumo_energy;L*-metal_bound_lumo_s;L*-metal_bound_lumo_p;L*-metal_bound_lumo_d;L*-metal_bound_lumo_f;L_free-energy;L_free-dipole_moment;L_free-homo_lumo_gap;L_free-metal_bound_homo_energy;L_free-metal_bound_homo_s;L_free-metal_bound_homo_p;L_free-metal_bound_homo_d;L_free-metal_bound_homo_f;L_free-metal_bound_lumo_energy;L_free-metal_bound_lumo_s;L_free-metal_bound_lumo_p;L_free-metal_bound_lumo_d;L_free-metal_bound_lumo_f;L_free-polarisability;L_free-molar_volume;L_free-largest_frequency;L_free-I1/I3;L_free-I2/I3
ligand13128-0;3.6350700000000025;0;3;0;6;181.5461702445448;0.3736547241893403;4.908144753722332;154.71765189429382;39.05777494827312;533.7626373330003;897.4696585131347;552.592977188724;913.1538277831912;-1198.84190356;7.9405;0.0709999999999999;0.138;0.0107320379575237;0.9740171712607322;0.0152507907817442;0.0;0.215;-0.0408233276157804;1.0208118925100058;0.0200114351057747;0.0;-1198.89635563;5.4404;0.0999999999999999;0.106;0.0;0.9616673648931714;0.0383326351068286;0.0;0.206;0.0;0.9858035207268598;0.0141964792731402;0.0;332.86;3465.576;3140.3585;;
ligand13129-0;0.2922799999999999;2;0;0;6;276.3626471907241;0.5494549012299664;7.540222380412872;203.08136389061136;60.00318319274231;497.2382313940844;775.4428477485792;499.8485331465865;774.1781061200143;-946.313020233;13.682;0.0429999999999999;0.133;0.2791135270750575;0.691302529793017;0.0295839431319255;0.0;0.176;0.0;0.9863697846217876;0.0136302153782124;0.0;-946.378009684;9.7774;0.067;0.086;0.2347392388593732;0.7332755068849616;0.0319852542556651;0.0;0.153;0.0;0.9849685987851334;0.0150314012148666;0.0;249.75;2090.578;3177.8373;;
ligand13130-0;4.228700000000003;0;1;0;8;190.98182224145268;0.3514081718225866;4.666137616313855;150.17292289506213;37.13194333916919;556.3210033215717;956.1586306325552;559.3108127253623;962.976020067901;-1359.53816813;11.8681;0.126;-0.033;0.0397385349657605;0.9491595766756588;0.0111018883585806;0.0;0.139;0.1671712075344769;0.8150016818028927;0.0178271106626303;0.0;-1359.55699593;8.6877;0.153;-0.059;0.0165594346587912;0.9646661744541716;0.0187743908870372;0.0;0.133;0.4823426189953936;0.4848651019960518;0.0327922790085545;0.0;246.34;3256.427;3234.2583;;
ligand13132-0;2.684400000000001;2;1;0;8;214.45275192547143;0.3715873089824823;5.013147850531794;156.67659281584946;39.89336304313226;572.320659744681;909.0143502916654;571.1609268911659;905.8715362730276;-975.602443351;1.6613;0.187;-0.248;0.0497079246114846;0.9167860685550536;0.0335060068334619;0.0;-0.061;0.0;0.9367169932540956;0.0632830067459042;0.0;-975.61439353;1.2759;0.19;-0.249;0.0671871563668352;0.9192874422696284;0.0135254013635363;0.0;-0.059;0.0;0.9688360312740888;0.0311639687259112;0.0;228.49;2887.625;3158.2136;;
ligand13133-0;0.4122899999999999;1;1;0;2;190.0428601016448;0.3224352404025344;4.09512077556906;139.24043603608882;32.58793569950661;346.0819203235719;497.660104096806;346.1418724821562;497.6993907108388;-528.248313117;2.982;0.205;-0.248;0.0;1.0;0.0;0.0;-0.043;0.0;0.9560393110007398;0.0439606889992602;0.0;-528.25628166;3.6568;0.205;-0.247;0.0;1.0;0.0;0.0;-0.042;0.0;0.9489979853674052;0.0510020146325946;0.0;115.35;1214.738;3171.7611;0.1508888921080476;0.8520594830064827
ligand13134-0;1.8083000000000005;1;0;1;8;324.505569764533;0.9356771803950802;11.912351325660232;307.2510095270089;94.79547986630593;538.6907325624866;973.9984387159492;538.120378959776;985.3421448401068;-1684.4579548;6.5006;0.127;0.0;0.0016759191369016;0.9872211165811248;0.0111029642819733;0.0;0.127;0.7966706302021402;0.2033293697978596;0.0;0.0;-1684.4949566;8.0429;0.148;-0.026;0.0386270599349218;0.947097722263042;0.0142752178020363;0.0;0.122;1.1316933638443936;-0.1316933638443936;0.0;0.0;281.0;4225.776;3089.1085;;
ligand13135-0;3.996890000000005;0;2;0;9;288.32735362534515;0.6305266958628402;8.192241610124968;215.3762667699313;65.19178736272482;594.863183063238;978.2294365615232;585.1237687289314;965.4301901416546;-1592.59803353;9.1532;0.061;0.006;0.3024246395806029;0.6472258628221931;0.050349497597204;0.0;0.067;0.0;0.9512946275807004;0.0487053724192996;0.0;-1592.68076788;10.4163;0.148;-0.086;0.0336823923135053;0.9663176076864948;0.0;0.0;0.062;0.0;0.9095893356267468;0.090410664373253;0.0;271.92;2953.183;3121.6753;;
ligand13137-0;2.7849000000000013;4;0;4;7;181.8602640714477;0.3450778046962355;4.444131068773848;145.96130956159658;35.365271367181286;453.5908496926885;755.0468241992705;451.3207734343539;753.2419995060205;-1318.52642442;1.5063;0.221;-0.202;0.1246186871539939;0.8753813128460061;0.0;0.0;0.019;-0.0098790098790098;0.9257409257409258;0.0841380841380841;0.0;-1318.53470606;1.6395;0.2339999999999999;-0.217;0.0387940589669696;0.9473509199733984;0.013855021059632;0.0;0.017;0.0396606574761399;0.9027571580063628;0.0575821845174973;0.0;195.3;2737.614;3103.0751;0.4297894457859834;0.9180162553832028
ligand13138-0;3.3424400000000007;0;2;0;4;131.2454795723916;0.1994269474468878;2.588076328979909;107.95614027081216;20.59525704281394;465.29203855916353;721.7755150047738;464.5921567869468;720.1935623058336;-781.431890822;3.1562;0.209;-0.24;0.0;1.0;0.0;0.0;-0.031;0.0124775298720524;0.920059215396003;0.0674632547319445;0.0;-781.437838507;3.0032;0.018;-0.273;0.1702240628650313;0.8048210682807688;0.0249548688541998;0.0;-0.031;0.0;0.9300654975702514;0.0699345024297486;0.0;187.57;1993.007;3511.68;;
ligand13140-0;4.072290000000002;1;0;0;9;205.86300431613336;0.4439235464032799;5.733169085796684;169.95605144327882;45.62310997930924;433.7519494202981;698.6803514924247;432.76187692345104;691.5124935497762;-923.389875123;5.7257;0.129;0.01;0.2127014019669387;0.739903745553463;0.0473948524795982;0.0;0.139;0.4087719298245613;0.5783991228070176;0.012828947368421;0.0;-923.414478835;2.5103;0.128;-0.006;0.174423808458268;0.7656075184605057;0.0599686730812262;0.0;0.122;0.0316935225696297;0.9050261444883152;0.0632803329420552;0.0;201.9;2180.55;3094.6055;0.3839275611741087;0.854945528778107
ligand13141-0;3.7654200000000015;0;3;0;6;249.60946117834317;0.483920751024972;6.071179054573813;176.13273554035092;48.31290784657011;603.4411072560823;961.3045766731376;573.491495824901;937.857230484809;-1445.66121174;9.1126;0.13;-0.079;0.0;0.950879120879121;0.0491208791208791;0.0;0.051;0.0;0.98546221285096;0.01453778714904;0.0;-1445.67451699;7.3929;0.125;-0.082;0.0;0.9588547189819724;0.0411452810180275;0.0;0.043;0.0;0.9846498599439776;0.0153501400560224;0.0;308.81;3091.024;3140.3327;;
ligand13142-0;2.5809000000000006;0;1;0;1;173.57317958823683;0.315953456951174;4.049119418871581;138.34413887007165;32.22186853413974;332.881430632013;482.0596390475472;333.791448247971;482.96798615904527;-1121.05151647;10.0004;0.119;-0.024;0.0614883436831925;0.9385116563168074;0.0;0.0;0.095;0.0;0.9673486695642955;0.0326513304357044;0.0;-1121.06010947;8.8318;0.145;-0.048;0.0390114379084967;0.95046977124183;0.0105187908496732;0.0;0.097;0.0;0.9652850831054072;0.0347149168945928;0.0;132.67;1260.857;3422.1691;0.1974042818416598;0.8025957229819771
ligand13143-0;1.85849;1;1;0;3;145.91000882197062;0.2372053205367126;3.384099805744982;125.044542933904;26.92981060003184;374.1731101686358;561.0357761531377;374.4131095156997;561.3096591290064;-535.375445406;5.5967;0.151;-0.191;0.369479621155688;0.616579759497712;0.0139406193465999;0.0;-0.04;0.0;0.9490582191780822;0.0509417808219178;0.0;-535.376567681;5.4887;0.16;-0.201;0.377253814147018;0.6075962872079377;0.0151498986450442;0.0;-0.041;0.0;0.9503211991434688;0.049678800856531;0.0;142.22;1679.742;3165.3268;0.1971861352535195;0.8712637269830624
ligand13144-0;3.9171900000000015;0;2;0;4;196.1910993418857;0.3297032240029817;4.513133103820066;147.27511574911705;35.91437211523158;466.5919007488806;722.3251499170025;468.1419621403082;723.2540931920263;-1411.05834138;10.1646;0.101;-0.057;-0.0056590184175326;0.9845663134067292;0.0210927050108035;0.0;0.044;0.0;0.9604381580346698;0.0395618419653302;0.0;-1411.06292629;10.2925;0.111;-0.069;0.0;0.9627770807193644;0.0372229192806357;0.0;0.042;0.0;0.9601784007645748;0.0398215992354252;0.0;246.13;1922.26;3120.4292;;
ligand13145-0;0.0597000000000012;2;0;2;8;287.3413133526635;0.7091700055907566;9.50028018752285;241.5964897822012;75.600827630113;468.01023984829135;771.3288764924741;450.0502695991299;749.0221424120087;-730.606751527;0.986;0.211;-0.181;0.2030426449448969;0.796957355055103;0.0;0.0;0.03;1.1246321032374915;-0.1246321032374914;0.0;0.0;-730.648346377;0.2864;0.251;-0.215;0.2168458781362007;0.7477598566308244;0.0353942652329749;0.0;0.036;1.0721721838811555;-0.0721721838811556;0.0;0.0;177.61;1964.816;3481.1532;0.4918913590133018;0.7046554043979165
