Unnamed: 0;name;stoichiometry;occurrence;parent_metal_occurrences;metal_bond_node_idx_groups;smiles;smiles_metal_bond_node_idx_groups;weisfeiler_lehman_graph_hash;stable_occurrence
29233;ligand28990-0;C11H14NO2;1;{'Mo': ['HINJEW-subgraph-1', 'HINJEW-subgraph-0']};{'HINJEW-subgraph-0': [[3], [14]], 'HINJEW-subgraph-1': [[1], [10]]};C(=O)(N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c(c(c1[O])[H])[H];[[1], [25]];aed283961de58ccdd37f0d3b34a340cb;HINJEW-subgraph-1
29234;ligand28991-0;C12H13N2P;1;{'Co': ['EBAPIJ-subgraph-0', 'EBAPIJ-subgraph-1']};{'EBAPIJ-subgraph-0': [[0]], 'EBAPIJ-subgraph-1': [[0]]};P(c1c([H])c([H])c(c(c1[H])[H])[H])(C([H])([H])C([H])([H])C#N)C([H])([H])C(C#N)([H])[H];[[0]];56ac5fbb33ddfb3499dddc7a1f9ba44d;EBAPIJ-subgraph-1
29235;ligand28992-0;C22H22FP3;1;{'Mn': ['LEBYEA-subgraph-0']};{'LEBYEA-subgraph-0': [[0], [14], [16]]};P1(C([H])([H])[H])c2c(c([H])c(c(c2P(c2c(P(C(C1([H])[H])([H])[H])C([H])([H])[H])c([H])c(c(c2[H])[H])[H])c1c(c([H])c(c(c1F)[H])[H])[H])[H])[H])[H];[[0], [12], [15]];a4d5ded445e8e827be2a9ca418298d68;LEBYEA-subgraph-0
29236;ligand28993-0;C19H30NO;1;{'Ti': ['OJOHAW-subgraph-2']};{'OJOHAW-subgraph-2': [[0], [21]]};N(=C(\c1c([H])c(c(c(c1[O])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])/[H])/C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H];[[0], [9]];94f3495408367b3590dbce15f727aefd;OJOHAW-subgraph-2
29237;ligand28994-0;C21H19N3O3S;1;{'Ni': ['EBECOE-subgraph-0']};{'EBECOE-subgraph-0': [[7], [8], [23], [26]]};S(C([H])([H])[H])/C(=N\[C]([H])c1c(c(c(c(c1[H])C([H])([H])[H])[H])C(=O)[H])[O])/[N]/N=C(\C([H])([H])[H])/C(=C(\[O])/c1c([H])c([H])c(c(c1[H])[H])[H])/[H];[[6], [26], [24], [34]];cbdd1f66a1af6b85585b002c5100a22f;EBECOE-subgraph-0
29238;ligand28995-0;C21H20N2O2S;2;{'Ir': ['SEQXES-subgraph-0'], 'Ru': ['FILKER-subgraph-0']};{'SEQXES-subgraph-0': [[3], [16], [26]], 'FILKER-subgraph-0': [[4], [19], [25]]};S(=O)(=O)([N][C@]([C@]([H])(N([H])[H])C1=C(C(=C(C(=[C]1)[H])[H])[H])[H])([H])c1c(c([H])c(c(c1[H])[H])[H])[H])c1c([H])c([H])c(c(c1[H])[H])C([H])([H])[H];[[3], [7], [15]];6ec47873f6adcb91722a90ed992557f4;FILKER-subgraph-0
29239;ligand28996-0;C34H40N4P;1;{'Cu': ['BEGFOL-subgraph-0']};{'BEGFOL-subgraph-0': [[26]]};c12c([H])c([H])c(c(c2N([C](N1C(C([H])([H])[H])([H])C([H])([H])[H])C1=PC(=C2[C]1C(=C([H])C(=C2[H])[H])[H])[C]1N(C(C([H])([H])[H])([H])C([H])([H])[H])c2c(N1C([H])(C([H])([H])[H])C([H])([H])[H])c(c(c(c2[H])[H])[H])[H])C(C([H])([H])[H])([H])C([H])([H])[H])[H])[H];[[22]];6e8f7e8320fd1663803b900a76ce409d;BEGFOL-subgraph-0
29240;ligand28997-0;C9H7Cl2N3S;1;{'Pt': ['XIQJOY-subgraph-0']};{'XIQJOY-subgraph-0': [[6], [11], [18]]};ClC1=C(Cl)C(=C([C]=C1[H])/C(=N/[N]C(=S)N([H])[H])/C([H])([H])[H])[H];[[6], [10], [13]];d65a508432a2d5845b1ed5072086fac9;XIQJOY-subgraph-0
29241;ligand28998-0;C6H9;1;{'Mo': ['BEBXAI-subgraph-2']};{'BEBXAI-subgraph-2': [[0, 1, 4]]};[C]([C]([C]=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H];[[0, 1, 2]];9603d74cfd028214aae4ac5a4ed1c884;BEBXAI-subgraph-2
29242;ligand28999-0;C10H7O;1;{'Fe': ['LEMRUQ-subgraph-1']};{'LEMRUQ-subgraph-1': [[2, 12, 7]]};[C@@]1(C(=C(C(=C(C(=C1[H])[H])[H])[H])[H])[H])(/[C]=[C]/[C]=O)[H];[[13, 15, 14]];346fec7fa78ce4d36c7518e4dc5b4f98;LEMRUQ-subgraph-1
29243;ligand29000-0;C8H18N3;2;{'Ti': ['DICLOT-subgraph-0', 'DICLOT-subgraph-2'], 'Fe': ['HEJYED-subgraph-0', 'HEJYED-subgraph-2']};{'DICLOT-subgraph-0': [[0, 2, 6]], 'DICLOT-subgraph-2': [[0, 2, 6]], 'HEJYED-subgraph-0': [[0, 2, 6]], 'HEJYED-subgraph-2': [[0, 2, 6]]};[N](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[N][N]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H];[[0, 14, 15]];3de7e8b632aaa5e759d4dd6b07500ca5;HEJYED-subgraph-2
29244;ligand29001-0;C11H17N3;1;{'Zn': ['PODVUA-subgraph-2']};{'PODVUA-subgraph-2': [[0], [10], [17]]};n1c(c(c(c(c1/C(=N/C([H])([H])C(N([H])C([H])(C([H])([H])C([H])([H])[H])[H])([H])[H])/[H])[H])[H])[H])[H];[[0], [7], [12]];1989f48b3b7106fce66843b7fd6b7b5b;PODVUA-subgraph-2
29245;ligand29002-0;C6H5N2OSe;1;{'Pt': ['PEHPID-subgraph-0']};{'PEHPID-subgraph-0': [[0], [3]]};[Se]c1c(c([H])c(c(n1)[H])[H])C(=O)N([H])[H];[[0], [7]];47733fb68d0f589437c648adebdbc118;PEHPID-subgraph-0
29246;ligand29003-0;C6H5N2OSe;1;{'Pt': ['PEHPID-subgraph-1']};{'PEHPID-subgraph-1': [[0]]};[Se]c1nc([H])c(c(c1C(=O)N([H])[H])[H])[H];[[0]];47733fb68d0f589437c648adebdbc118;PEHPID-subgraph-1
29247;ligand29004-0;C16H28N5Si;2;{'Sc': ['SEBLUH-subgraph-0'], 'Zn': ['FIXWUH-subgraph-0']};{'SEBLUH-subgraph-0': [[0], [19], [20]], 'FIXWUH-subgraph-0': [[0], [20], [21]]};n1n(c(c(c1C([H])([H])[H])[H])C([H])([H])[H])C(n1c(c(c(n1)C([H])([H])[H])[H])C([H])([H])[H])([H])[Si]([N]C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H];[[0], [19], [31]];5a758341216aeeb56df4836c95405530;FIXWUH-subgraph-0
29248;ligand29005-0;C16H21NOP;1;{'Pt': ['IYINEM-subgraph-0', 'IYINEM-subgraph-1']};{'IYINEM-subgraph-0': [[0], [12]], 'IYINEM-subgraph-1': [[0], [12]]};P(c1n([C]=O)c2c(c1C([H])([H])[H])c([H])c(c(c2[H])[H])[H])(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H];[[0], [3]];082869b5664e29ab1fad9c9103e684f9;IYINEM-subgraph-1
29249;ligand29006-0;C18H14N2O;1;{'Ag': ['JIQDUL-subgraph-0']};{'JIQDUL-subgraph-0': [[6]]};O1C([H])([H])[C@](N=C1c1c([H])c([H])c2c(n1)c(c(c(c2[H])[H])[H])[H])([H])c1c([H])c([H])c(c(c1[H])[H])[H];[[5]];ff3f2a2927788d7c2b49d5de731335a7;JIQDUL-subgraph-0
29250;ligand29007-0;C18H31P2S2;1;{'Rh': ['MASVIN-subgraph-0']};{'MASVIN-subgraph-0': [[0], [6], [34]]};[S][P](C1=[C]C(=C(C(=C1[H])[H])[H])[P](C([H])(C([H])([H])[H])C([H])([H])[H])(C(C([H])([H])[H])([H])C([H])([H])[H])[S])(C(C([H])([H])[H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H];[[0], [3], [32]];9cfcf6667d8c2ebab7c33ab9e9899b63;MASVIN-subgraph-0
29251;ligand29008-0;C6H12O2;2;{'Rh': ['WOGTOB-subgraph-1', 'MASVIN-subgraph-2']};{'MASVIN-subgraph-2': [[5], [16]], 'WOGTOB-subgraph-1': [[0], [16]]};C([H])([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H];[[5], [15]];42e95240c667c10dd369256d780b6c18;WOGTOB-subgraph-1
29252;ligand29009-0;C13H12N4S2;1;{'Co': ['BACZIP-subgraph-0']};{'BACZIP-subgraph-0': [[0], [5], [18]]};S=C(SC([H])([H])c1c([H])c([H])c(c(c1[H])[H])[H])[N]/N=C(/C1=C([H])C(=N[N]1)C([H])([H])[H])\[H];[[0], [18], [25]];d6db0df9f7c3b31a11d961c1f809be67;BACZIP-subgraph-0
29253;ligand29010-0;C10H10S2;1;{'Fe': ['PANYEI-subgraph-0']};{'PANYEI-subgraph-0': [[0], [6, 12]]};[S]/C(=C(\[C](SC([H])([H])[H])[H])/[H])/c1c([H])c([H])c(c(c1[H])[H])[H];[[0], [3, 4]];fe7ec4bbe37400df8b7bd04b3335e1ae;PANYEI-subgraph-0
29254;ligand29011-0;C36H31N2;1;{'Pd': ['KIJKEU-subgraph-0']};{'KIJKEU-subgraph-0': [[0], [26], [32]]};[C]1=C(C(=C(C(=C1c1c([H])c([H])c(c(c1/C(=N/[C@@]([H])(C([H])([H])[H])c1c([H])c([H])c(c(c1[H])[H])[H])/[H])[H])[H])[H])[H])[H])c1c(c([H])c(c(c1/C(=N/[C@@](c1c([H])c([H])c(c(c1[H])[H])[H])([H])C([H])([H])[H])/[H])[H])[H])[H];[[0], [15], [47]];e4c279586a5381e84b8a0192328f402c;KIJKEU-subgraph-0
29255;ligand29012-0;C17H23NSi;2;{'Y': ['YICXIS-subgraph-1', 'YICXEO-subgraph-0']};{'YICXEO-subgraph-0': [[3, 9, 10, 16, 19], [1]], 'YICXIS-subgraph-1': [[1, 5, 6, 14, 17], [3]]};[Si]([N]c1c([H])c([H])c(c(c1[H])[H])[H])(C([H])([H])[H])(C1=C(C(=C([C]1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H];[[17, 18, 21, 19, 20], [1]];07cc26fe0fd5fc9e3cd868423d946771;YICXIS-subgraph-1
29256;ligand29013-0;C14H18N2S;2;{'Pd': ['AVOBIY-subgraph-0', 'ZELFUT-subgraph-2']};{'AVOBIY-subgraph-0': [[0], [12]], 'ZELFUT-subgraph-2': [[0], [9]]};[C]1N(C(=C(N1C([H])(SC([H])([H])[H])[H])[H])[H])c1c(C([H])([H])[H])c([H])c(c(c1C([H])([H])[H])[H])C([H])([H])[H];[[0], [7]];06491dc00d4a51d6f7ae902d31ae5efb;ZELFUT-subgraph-2
29257;ligand29014-0;C11H8N2O2;1;{'Rh': ['LAVQIL-subgraph-0']};{'LAVQIL-subgraph-0': [[14], [19]]};c1(c([H])c(c(c(c1[H])[H])/[C]=C(\[H])/C1=NOC(=O)[N]1)[H])C([H])([H])[H];[[9], [17]];01ef9c051f4ef0ea291f46d9b2ec16d6;LAVQIL-subgraph-0
29258;ligand29015-0;C13H8ClN2O3;1;{'Zn': ['NOHZUI-subgraph-2', 'NOHZUI-subgraph-0']};{'NOHZUI-subgraph-0': [[24]], 'NOHZUI-subgraph-2': [[23]]};Clc1c(c(c(c(c1[H])[H])[N][N]c1c(c(c(c(c1[H])C(=O)[O])O[H])[H])[H])[H])[H];[[19]];9b1e7726721d87a722bcf61cf61a4857;NOHZUI-subgraph-2
29259;ligand29016-0;C25H36P2Se;1;{'Pd': ['DESDEN-subgraph-0']};{'DESDEN-subgraph-0': [[0, 1], [10], [12]]};[C]([Se])(c1c([H])c([H])c(c(c1P(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])([H])C([H])([H])[H])[H])[H])c1c(P(C(C([H])([H])[H])(C([H])([H])[H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c(c(c(c1[H])[H])[H])[H];[[0, 1], [10], [35]];855addad8520df0df79156e2f2e6889d;DESDEN-subgraph-0
