;name;stoichiometry;occurrence;parent_metal_occurrences;metal_bond_node_idx_groups;smiles;smiles_metal_bond_node_idx_groups;weisfeiler_lehman_graph_hash
19351;ligand19158-0;C14H17N4O;1;{'Pd': ['JACBOH-subgraph-0', 'JACBOH-subgraph-1']};{'JACBOH-subgraph-0': [[0], [8]], 'JACBOH-subgraph-1': [[0], [8]]};O=C1/C(=N\[N]c2c(c([H])c(c(c2[H])[H])C([H])([H])[H])[H])/C(=NN1C(C([H])([H])[H])([H])C([H])([H])[H])C([H])([H])[H];[[0], [4]];8803c03d93c5003a730fce39d4910c70
19352;ligand19159-0;C21H36B3N6P;1;{'Au': ['UDOTUF-subgraph-1']};{'UDOTUF-subgraph-1': [[0]]};P12[C]3N4C(=C(N3[B](N3[C]2N([B](N2[C]1N([B]4(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C(=C2[H])[H])(C([H])([H])C([H])([H])[H])C(C([H])([H])[H])([H])[H])C(=C3[H])[H])(C([H])(C([H])([H])[H])[H])C([H])([H])C([H])([H])[H])[H])[H];[[0]];6f663f0ca5b272ee828ec3bac6546730
19353;ligand19160-0;C11H11B;1;{'Cr': ['KIHHOY-subgraph-3']};{'KIHHOY-subgraph-3': [[0, 2, 3, 6, 8, 12, 15]]};c12c([H])c([H])c(c(c1c(c(b(c(c2[H])[H])C([H])([H])[H])[H])[H])[H])[H];[[0, 0, 12, 8, 9, 9, 10]];66eb11af8d2d67498d7e1d1e7a747c38
19354;ligand19161-0;C9H23Si3;2;{'Zn': ['YECZUB-subgraph-1', 'YECZUB-subgraph-2', 'JUSLEO-subgraph-1', 'JUSLEO-subgraph-0']};{'JUSLEO-subgraph-0': [[0]], 'JUSLEO-subgraph-1': [[0]], 'YECZUB-subgraph-1': [[0]], 'YECZUB-subgraph-2': [[0]]};[C]1([Si](C([H])([H])[H])(C([H])([H])[H])C([Si](C([Si]1(C([H])([H])[H])C([H])([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H];[[0]];eb944a4fc28e168f6611f92e1078848a
19355;ligand19162-0;C14H15N4O2;1;{'Co': ['DUWGOT-subgraph-0']};{'DUWGOT-subgraph-0': [[0], [11], [20]]};[O]c1c([H])c(O[H])c(c(c1/C(=N/[N]C1=NC(=C([C](N1[H])C([H])([H])[H])[H])C([H])([H])[H])/C([H])([H])[H])[H])[H];[[0], [11], [14]];248b8c8625de72ff56e4e69720f4bad9
19356;ligand19163-0;C14H15N4O2;1;{'Co': ['DUWGOT-subgraph-1']};{'DUWGOT-subgraph-1': [[0], [11], [21]]};[O]c1c(c(c(c(c1[H])O[H])[H])[H])/C(=N/N(c1nc(c(c(n1)C([H])([H])[H])[H])C([H])([H])[H])[H])/C([H])([H])[H];[[0], [13], [16]];520282b415c2f50b7895b62ac6615230
19357;ligand19164-0;C36H38N2O2;1;{'Zr': ['DEDFIC-subgraph-1']};{'DEDFIC-subgraph-1': [[0], [14], [38], [58]]};[O]c1c(C(C([H])([H])[H])([H])C([H])([H])[H])c(c(c(c1/C(=N/c1c(c2c(/N=C(\[H])/c3c([O])c(C(C([H])([H])[H])([H])C([H])([H])[H])c(c(c3C([H])([H])[H])[H])[H])c(c(c(c2C([H])([H])[H])[H])[H])[H])c(c(c(c1[H])[H])[H])C([H])([H])[H])/[H])C([H])([H])[H])[H])[H];[[0], [18], [23], [28]];36f81f1bfa874dd96cc6abc2431188d6
19358;ligand19165-0;C12H13O2S;1;{'Mo': ['TOXHET-subgraph-0']};{'TOXHET-subgraph-0': [[8, 2, 7]]};S(=O)(=O)(c1c([H])c([H])c(c(c1[H])[H])[H])[C]1[C](C(C(C([C]1[H])([H])[H])([H])[H])([H])[H])[H];[[19, 14, 15]];f81000e48cccd7cf9ac5319d149aa581
19359;ligand19166-0;C14H8BrClN2O2;2;{'Mo': ['YEDPOP-subgraph-0'], 'V': ['XADRIG-subgraph-0']};{'YEDPOP-subgraph-0': [[0], [6], [12]], 'XADRIG-subgraph-0': [[5], [12], [16]]};N(=C(\c1c([O])c(c(c(c1[H])[H])[H])Br)/[H])/[N]C(=O)c1c(c(c(c(c1Cl)[H])[H])[H])[H];[[0], [16], [4]];a73a402c72f2cd51475fa976bc3add5b
19360;ligand19167-0;C16H19N2;1;{'Pd': ['GUNDAV-subgraph-1']};{'GUNDAV-subgraph-1': [[0], [15]]};N1(C([H])([H])[C@@](c2c(C1([H])[H])c1c([H])c(c(c(c1n2C([H])([H])[H])[H])[H])[H])([H])[C]([H])[H])C([H])(C(=C([H])[H])[H])[H];[[0], [26]];c40d1402a7c3e2c7778150b8a2e7b7c3
19361;ligand19168-0;C26H23N2O2S;1;{'Rh': ['REPZUJ-subgraph-0']};{'REPZUJ-subgraph-0': [[2], [3], [44]]};S(=O)(=O)(c1c([H])c([H])c(c(c1[H])[H])C([H])([H])[H])[N]C([C@]([H])(c1c([H])c([H])c(c(c1[H])[H])[H])c1c(c([H])c(c(c1c1c([H])c([H])c(c(n1)[H])[H])[H])[H])[H])([H])[H];[[1], [17], [46]];4c9e007172763e14cc370287318a7295
19362;ligand19169-0;C25H42N2P;1;{'Zn': ['KAKZEF-subgraph-1']};{'KAKZEF-subgraph-1': [[0], [20], [36]]};P(C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])C([H])(/N=C(\C([H])([H])[H])/[C]([H])/C(=N/c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c(c1C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])/C([H])([H])[H])[H])C([H])(C([H])([H])[H])C([H])([H])[H];[[0], [16], [25]];7f10655af27c92420890bcd10acaaed2
19363;ligand19170-0;C19H14N4O;1;{'Ni': ['NIFORN-subgraph-0']};{'NIFORN-subgraph-0': [[6], [7], [22]]};C(=N\[N]c1c(c(c(c(c1[H])[H])[H])[H])[H])(/c1c([H])c([H])c(c(c1[H])[H])[H])\N=N\c1c([O])c(c(c(c1[H])[H])[H])[H];[[26], [2], [29]];66fb9274d3ca12a99b4aef0b7aa8f26f
19364;ligand19171-0;C10H11N4O2;1;{'Zn': ['DUMLIH-subgraph-1', 'DUMLIH-subgraph-0']};{'DUMLIH-subgraph-0': [[0], [4], [19]], 'DUMLIH-subgraph-1': [[0], [6], [16]]};O=C([N]/N=C(\C([H])([H])[H])/c1c(c(c(c(n1)[H])[H])[H])[H])/C(=N/O[H])/C([H])([H])[H];[[0], [3], [14]];4a51dddcdc29b4219bf0d4d45a36d578
19365;ligand19172-0;C24H28P2;1;{'Ni': ['NUWXUB-subgraph-2']};{'NUWXUB-subgraph-2': [[0], [20]]};P(C([H])(C([H])([H])[H])C([H])([H])[H])(c1c(c(c(c(c1P(c1c(c([H])c(c(c1[H])[H])[H])[H])c1c(c([H])c(c(c1[H])[H])[H])[H])[H])[H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H];[[0], [17]];527346f2ac39cac9e44207edf10cc854
19366;ligand19173-0;C11H10N3S2;2;{'Zn': ['VOJHIO-subgraph-1', 'VOJHIO-subgraph-0'], 'Ni': ['RUYGAW-subgraph-0', 'RUYGAW-subgraph-1']};{'VOJHIO-subgraph-0': [[3], [12]], 'VOJHIO-subgraph-1': [[3], [13]], 'RUYGAW-subgraph-0': [[5], [12]], 'RUYGAW-subgraph-1': [[0], [10]]};s1c(nc(c1C([H])([H])[H])[H])[N]C(=S)N(c1c(c(c(c(c1[H])[H])[H])[H])[H])[H];[[2], [12]];d3129b774c568a48302755de0dd48f47
19367;ligand19174-0;C11H15N6S;3;{'Zn': ['ZOTMON-subgraph-0', 'LUNKUD-subgraph-0', 'NALNIZ-subgraph-0']};{'NALNIZ-subgraph-0': [[0], [6], [16], [25]], 'LUNKUD-subgraph-0': [[0], [6], [17], [25]], 'ZOTMON-subgraph-0': [[0], [6], [16], [24]]};S=C(N([H])C([H])([H])[H])[N]/N=C(\C([H])([H])[H])/C(=N/N([H])c1c([H])c([H])c(c(n1)[H])[H])/C([H])([H])[H];[[0], [9], [16], [26]];0ae87ee8df380a52fba3000173a8347c
19368;ligand19175-0;C22H39NP;2;{'Pd': ['VUGDOS-subgraph-1', 'VUGDAE-subgraph-0']};{'VUGDAE-subgraph-0': [[0], [13], [39]], 'VUGDOS-subgraph-1': [[0], [31], [42]]};P(C([H])(C1=C([H])C(=C(C(=[C]1)C(N(C([H])(C(C([H])([H])[H])([H])[H])[H])C([H])([H])C([H])([H])C([H])([H])[H])([H])[H])[H])[H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H];[[0], [9], [11]];0d0e405a209aeef1be0782b25ba0b470
19369;ligand19176-0;C23H29N2P;2;{'Ir': ['YIBKEA-subgraph-1'], 'Rh': ['YIBKIE-subgraph-0']};{'YIBKEA-subgraph-1': [[0], [26]], 'YIBKIE-subgraph-0': [[0], [26]]};P(c1c([H])c([H])c(c(c1[H])[H])[H])(C(C([H])([H])n1c(C(C([H])([H])[H])([H])C([H])([H])[H])c(c(n1)C([H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])c1c([H])c([H])c(c(c1[H])[H])[H];[[0], [30]];a37faf871c4772abd28a209f1755a938
19370;ligand19177-0;C8H10NS;1;{'Os': ['QODCOB-subgraph-2']};{'QODCOB-subgraph-2': [[1]]};[S]([N])(c1c(c(c(c(c1[H])C([H])([H])[H])[H])C([H])([H])[H])[H])[H];[[1]];b21ba092a66f7311f491395afe408cb1
19371;ligand19178-0;C9H18N2;3;{'Ru': ['IVENAY-subgraph-1'], 'Rh': ['IQARIB-subgraph-0'], 'Pd': ['XUYQEN-subgraph-0']};{'IVENAY-subgraph-1': [[3], [16]], 'IQARIB-subgraph-0': [[0], [15]], 'XUYQEN-subgraph-0': [[0], [15]]};C1([H])([H])N([H])[C@](C(C1([H])[H])([H])[H])([H])C([H])([H])N1C([H])([H])C(C(C1([H])[H])([H])[H])([H])[H];[[3], [16]];9b5e766614687c506f19a1c69eb3ff47
